Aff,Neg,Judge,Result,"Aff								Points","Neg								Points"
Lakeville North DA,Scarsdale DH,,"Aff FFT																									Neg BYE","Aff FFT																									Neg BYE",
Peninsula AL,Rosemount CD,Vishvak Bandi,Aff,28,28
West Des Moines Valley SJ,Charlotte Latin EL,Sasha Belashchenko,Neg,29,29
Lexington CH,Edina DS,Lawrence Zhou,Neg,29,29
Iowa City West NW,Mount Vernon TK,Curtis Chang,Aff,29,28
Scarsdale OL,West Des Moines Valley LS,Ursula Gruber,Neg,29,29
Lexington MS,Eden Prairie AG,Kaya Czyz,Neg,28,29
West Bend DG,Ridge Point VM,Gautam Datta,Neg,27,28
Minnetonka SS,Peninsula WW,Mike Girouard,Neg,28,27
Edina NK,Eagan AE,Kaita Igarashi,Neg,29,29
Eagan JS,Minnetonka MW,Luis Hammer,Neg,29,30
Lexington AG,Coppell EH,Devin Hernandez,Aff,29,28
Minnetonka JB,Coppell HA,Javier Hernandez,Neg,29,29
Coppell VN,Sam Barlow EL,Jonathan Hsu,Neg,28,28
Rosemount CP,Lincoln East EB,Matthew K-M,Aff,29,28
Peninsula KN,Lexington FM,Saied Beckford,Aff,28,28
Byram Hills AK,Lexington BF,Kyle Kopf,Neg,29,30
Scarsdale BS,Lincoln East BH,Gordon Krauss,Aff,29,28
Coppell ER,Lakeville South EM,Julian Kuffour,Aff,29,29
Neenah IH,Peninsula AB,David McGinnis,Aff,25,24
Peninsula AJ,West Des Moines Valley AM,Jack McKyton,Neg,28,26
Westwood PM,Prospect ST,Jacob Nails,Neg,30,30
New Trier RK,Minnetonka AJ,Kelley Kirkpatrick,Neg,28,28
Lincoln East JZ,Lexington AS,Sanjana Raj,Neg,28,30
Lincoln East LZ,Eagan DW,Kaija Snyder,Aff,29,27
Iowa City West ST,Isidore Newman EE,Pratham Soni,Neg,28,30
Neenah NB,West Bend ER,Eric Endsley,Aff,29,29
Apple Valley NB,Minnetonka TR,Cort Sylvester,Aff,29,28
Eden Prairie SD,Peninsula KD,Conal Thomas-McGinnis,Aff,30,28
Isidore Newman PJ,Eagan VK,Kate Totz,Aff,28,28
Apple Valley RL,Robbinsdale Area LD,Bianca Turman,Aff,29,28
Apple Valley KW,Lexington VM,Anish Ramireddy,Neg,29,29
West Des Moines Valley RT,Westwood MP,Klil Loeb,Neg,30,29
Robbinsdale Area OS,,,,,
