Pro,Con,Judges,Votes,Win
Blake SC,Nueva CG,"Ethan Roytman																																						Rae Fournier																																						Ravi Tiyyagura","Con																															Con																															Con","3-0																															CON"
Strake Jesuit  HH,Strake Jesuit  MH,,Strake Jesuit  HH advances,Strake Jesuit  HH advances
Nueva AH,,,,
Germantown Friends LZ,,,,
Awty International ZZ,,,,
Pacific Blue Prep WZ,,,,
Richard Montgomery CX,,,,
Bergen Independent YS,,,,
Strake Jesuit  ZG,,,,
Lexington ML,,,,
Blake LB,,,,
Blake CK,,,,
Montgomery Blair LT,,,,
Strake Jesuit  SZ,,,,
Hawken MJ,,,,
Blake CB,,,,
