Aff,Neg,Judge,Result,"Aff								Points","Neg								Points"
St Agnes EH,Rosemount CD,Kenan Anderson,Neg,28,28
Lakeville South KK,Lexington JB,Sam Anderson,Neg,28,29
Millburn MM,Edina NK,Silma Bathily,Neg,28,28
Durham JH,Bettendorf CE,Dayanand Bhojak,Neg,28,29
Lincoln East SE,Valor Christian LS,Sarah Botsch-McGuinn,Neg,29,30
Westlake MR,Scarsdale BS,Austin Broussard,Aff,28,28
Westwood AD,Scarsdale OL,Grant Brown,Neg,29,29
Westwood PM,Summit MR,Scott Brown,Neg,29,29
Millard North JS,Cooper City NR,Chris Castillo,Neg,28,28
Strake Jesuit  DA,Harrison AC,Victor Chen,Aff,29,28
Evergreen Valley Independent SE,Eden Prairie DT,Chetan Hertzig,Neg,28,29
OA Independent VD,Lexington AM,Raunak Dua,Aff,29,28
Strake Jesuit  JW,Monta Vista KR,Patrick Fox,Aff,30,29
Lincoln Southwest BT,Harrison EM,Nathan Frenkel,Neg,28,28
Scarsdale DH,West Des Moines Valley MM,Joseph Georges,Neg,29,29
Harker AS,Troy Independent AP,Skyler Harris,Aff,29,29
Rosemount CP,Lake Highland Prep PS,Michael Harris,Neg,28,29
Lexington AT,Peninsula SM,Wyatt Hatfield,Aff,29,29
West Des Moines Valley JS,Proof DR,Aryan Jasani,Neg,28,29
Loveless Academic Magnet Program RR,Millburn AX,Josh Johnwell,Neg,29,29
Bronx Science NK,Scarsdale JT,Animesh Joshi,Neg,29,29
Eagan AE,Sharon RG,Saianurag Karavadi,Aff,29,28
Portola AS,Lexington VM,Muhammad Khattak,Neg,29,30
Saratoga AG,Harrison TB,Derek Ying,Aff,29,28
Prospect ST,Peninsula BD,Lukas Krause,Aff,30,29
Monta Vista RD,Eden Prairie SD,Gordon Krauss,Aff,29,28
Minnetonka AJ,McNeil AG,Julian Kuffour,Neg,29,29
San Mateo AS,Iowa City West NW,Lila Lavender,Aff,29,28
Monta Vista AK,Tays KM,Richard Li,Neg,28,28
Westwood AP,Millard North AR,Rafael Li,Aff,29,28
Northern Valley HS Independent JS,Minnetonka BD,Leo Matthes,Aff,29,29
Catonsville AT,Westlake AC,Lauren McBlain,Aff,29,28
Byram Hills AK,Millburn ST,Samantha McLoughlin,Aff,29,29
St Croix Prep AD,OA Independent VM,Eric Melin,Neg,29,30
Iowa City West ST,Harrison MB,Jason Meyer,Neg,28,29
Evergreen Valley Independent SS,Mission San Jose SS,Jonathan Meza,Aff,30,29
Westwood AR,Strath Haven AM,Jacob Nails,Neg,30,30
West Des Moines Valley RT,Lexington EY,Robert Norwood,Aff,30,30
Walt Whitman EY,Holy Cross ND,Aidin O'Brien,Aff,29,28
Lexington FM,Edina JS,Lala Diallo,Neg,28,29
Bergen County Academies AK,Lexington BF,Phoenix Pittman,Neg,29,29
Lincoln East EB,Westwood AG,Breigh Plat,Neg,28,29
Southlake Carroll EPi,Isidore Newman EE,Claudia Ribera,Neg,29,30
Lexington AG,Mission San Jose SR,Tajaih Robinson,Neg,30,30
Park City NL,Lakeville North KN,Andrew Shea,Aff,29,29
San Mateo YR,Village RB,Collin Smith,Aff,29,29
Harrison AA,Dwight-Englewood EK,Pratham Soni,Aff,30,29
Eagan JS,Scarsdale KS,Joshua StPeter,Neg,29,30
Northview MS,Durham SA,Abishek Stanley,Neg,28,29
Peninsula AB,Minnetonka MW,Cort Sylvester,Neg,28,28
Durham RL,Summit JC,Zach Thornhill,Neg,27,30
Lynbrook MD,Eagan VK,Nolan Trihn,Aff,29,28
DTHS HV,Peninsula CS,Iyana Trotman,Aff,29,29
Fairmont Prep SV,Eden Prairie AK,Bianca Turman,Neg,28,28
Los Altos BF,BASIS Independent Silicon Valley SK,David Robinson,Aff,29,29
West Des Moines Valley SJ,Lake Highland Prep SS,Ben Waldman,Aff,29,28
Westwood VL,Marlborough TZ,Andrew Wixson,Aff,29,28
Dulles TY,Bridgeland PT,Jeffrey Swift,Aff,30,29
Marlborough SG,Strake Jesuit  MS,Jacob Palmer,Neg,28,29
Brookfield East DJ,Eagan WW,Alex Baldwin,Aff,29,28
Southlake Carroll SD,Eden Prairie AG,Lawrence Zhou,Aff,29,29
,Lincoln East BH,,Neg BYE,Neg BYE,
