Pro,Con,Judges,Votes,Win
St Luke's GG,Princeton MB,"Manu Anand																																						David Cho																																						Nora Bruey","Pro																															Con																															Con","2-1																															CON"
Plano West KL,East Ridge MV,"David Levin																																						Don Ciaravino																																						Lindsay Donovan","Pro																															Pro																															Con","2-1																															PRO"
Horace Mann SJ,Bergen County Academies CM,"Spencer Grosso																																						Liam Maher																																						Caleb Chung","Con																															Con																															Con","3-0																															CON"
Newton South KH,Hamilton NS,"Spencer Grosso																																						Liam Maher																																						Caleb Chung","Con																															Con																															Con","3-0																															CON"
BASIS Peoria GV,Stuyvesant MH,"Manu Anand																																						David Cho																																						Nora Bruey","Pro																															Con																															Pro","2-1																															PRO"
Newton South MH,Lincoln-Sudbury YS,"Evan Burkeen																																						Kaitlin Hasenbeck-Meyer																																						Michael Anglemire","Con																															Con																															Con","3-0																															CON"
Potomac PL,Regis BT,"Jonah Sah																																						Colin Downes																																						Daniel Sheremeta","Pro																															Pro																															Con","2-1																															PRO"
Thomas S. Wootton TT,Ridge ZM,"Ethan Roytman																																						Mary Beth Armstrong																																						Sahil Sood","Pro																															Con																															Con","2-1																															CON"
Horace Mann KC,Cambridge Rindge and Latin RW,"Evan Burkeen																																						Kaitlin Hasenbeck-Meyer																																						Michael Anglemire","Pro																															Con																															Con","2-1																															CON"
Newton South MD,Horace Mann AP,"Robert Missell																																						Victor Ma																																						Susan Zana","Pro																															Pro																															Pro","3-0																															PRO"
Milton Acad WX,BASIS Peoria LA,"Ryan Love																																						Andrew Prescott																																						Julia Shephard","Pro																															Pro																															Pro","3-0																															PRO"
Bergen AR,Spence MC,"Sebastian Glos																																						Weiyao Xiao																																						Jack Flanigan","Con																															Con																															Con","3-0																															CON"
Summit AB,Trinity FY,"Jianguo Wang																																						Jianmin Gao																																						Xiaoyu Zhang","Con																															Con																															Pro","2-1																															CON"
Horace Mann JS,Chapin WI,"Bryce Piotrowski																																						Justin Zhang																																						Jacob Senghas","Con																															Pro																															Con","2-1																															CON"
Bergen YS,DuPont Manual Independent KF,"Jianguo Wang																																						Jianmin Gao																																						Xiaoyu Zhang","Pro																															Pro																															Pro","3-0																															PRO"
Strake Jesuit  HM,Milton Acad BP,"Ryan Love																																						Andrew Prescott																																						Julia Shephard","Con																															Pro																															Pro","2-1																															PRO"
North Broward Prep SA,Cary Acad ZH,"Tommy Billings																																						Sophia Wang																																						neel kanamangala","Con																															Con																															Con","3-0																															CON"
CR North TZ,Sidwell KP,"Robert Missell																																						Victor Ma																																						Susan Zana","Pro																															Con																															Con","2-1																															CON"
Sidwell CS,Dulles LM,"David Levin																																						Don Ciaravino																																						Lindsay Donovan","Con																															Pro																															Con","2-1																															CON"
Scarsdale LL,JR Masterman CA,"Tommy Billings																																						Sophia Wang																																						neel kanamangala","Con																															Con																															Con","3-0																															CON"
Richard Montgomery LW,Ridge SB,"David Huston																																						Sophia Rubinstein																																						Owen Carragher","Con																															Pro																															Con","2-1																															CON"
Carrollton JK,Delbarton EC,"Bobby Aiyer																																						Joy Fan																																						Dennis O'Donnell","Con																															Con																															Con","3-0																															CON"
Westfield DM,Newton South WZ,"Ethan Roytman																																						Mary Beth Armstrong																																						Sahil Sood","Pro																															Pro																															Pro","3-0																															PRO"
JR Masterman WE,Millburn CW,"Jonah Sah																																						Colin Downes																																						Daniel Sheremeta","Con																															Pro																															Con","2-1																															CON"
Horace Mann HZ,Richard Montgomery XC,"Sebastian Glos																																						Weiyao Xiao																																						Jack Flanigan","Con																															Con																															Pro","2-1																															CON"
Newton South LT,Berkeley Carroll BK,"Yongshun Lin																																						Vivek Sharma																																						Rafeh Khan","Con																															Pro																															Con","2-1																															CON"
Newton South RT,Sharon KS,"Hui Tang																																						Austin Zhao																																						Ryan Carragher","Pro																															Con																															Pro","2-1																															PRO"
Regis CC,Montgomery Blair LT,"Neha gupta																																						Jim Poyner																																						saurabh shukla","Con																															Pro																															Pro","2-1																															PRO"
Acton-Boxborough SS,Bronx Science BG,"Bobby Aiyer																																						Joy Fan																																						Dennis O'Donnell","Pro																															Con																															Con","2-1																															CON"
Germantown Friends LZ,Regis GG,"Yongshun Lin																																						Vivek Sharma																																						Rafeh Khan","Pro																															Con																															Pro","2-1																															PRO"
Ivy Bridge BR,Natick DY,"David Huston																																						Sophia Rubinstein																																						Owen Carragher","Pro																															Pro																															Con","2-1																															PRO"
Alliance RY,Chapin MS,"Hui Tang																																						Austin Zhao																																						Ryan Carragher","Pro																															Pro																															Con","2-1																															PRO"
