Pro,Con,Judges,Votes,Win
JR Masterman CA,Cambridge Rindge and Latin RW,"David Huston																																						jing ge																																						Ambika Grover																																						Oliver StJohn																																						Ananya Ganesh","Pro																															Pro																															Pro																															Pro																															Con","4-1																															PRO"
Potomac PL,Delbarton EC,"Rajiv Verma																																						Bilal Butt																																						Liz Scott																																						Joe Augustine																																						Catherine Liu","Con																															Con																															Con																															Con																															Con","5-0																															CON"
