Pro,Con,Judges,Votes,Win
Fairmont Prep MK,George Washington SW,"Kylie Donovan																																						Neo Curry																																						Richard Nash","Pro																															Pro																															Con","2-1																															PRO"
Fairmont Prep KP,Horace Mann JS,"Benjamin Geffen																																						James Bailey																																						Shandra Ahsan","Pro																															Con																															Con","2-1																															CON"
Strake Jesuit  HW,Durham VC,"Tiffany Dunia																																						Jiya Chatterjee																																						Daniel Rivero","Con																															Con																															Con","3-0																															CON"
Westfield DM,Southlake Carroll SB,"Sebastian Frazier																																						Wyatt Hatfield																																						Reha Kamdar","Pro																															Pro																															Pro","3-0																															PRO"
Millburn LW,Cary Acad LJ,"Jun Mao																																						Isaac Bardin '16																																						William LaMoure","Pro																															Con																															Con","2-1																															CON"
Regis AQ,St Luke's GG,"yeqing tang																																						Jariya Wanapun																																						Maryrose Kohan","Con																															Con																															Con","3-0																															CON"
Lake Highland Prep SM,Strake Jesuit  ML,"Gabe Rusk																																						Cecilia Granda-Scott																																						Pete Resnick","Con																															Con																															Con","3-0																															CON"
Hunter BG,Southlake Carroll KB,"Malcolm Davis																																						Victor Ma																																						Ashutosh Gubbi","Con																															Con																															Con","3-0																															CON"
Strake Jesuit  GZ,,,,
University KA,,,,
Flintridge Prep VC,,,,
JR Masterman CA,,,,
Blake OR,,,,
Brentwood CM,,,,
Ridge ZM,,,,
Horace Mann AC,,,,
Southlake Carroll RY,,,,
Strake Jesuit  SZ,,,,
Brentwood SS,,,,
Hawken JG,,,,
Strake Jesuit  HC,,,,
Regis FM,,,,
McLean HW,,,,
Regis CM,,,,
Strake Jesuit  HH,,,,
Taipei American HC,,,,
Durham BH,,,,
NSU AT,,,,
Millburn CW,,,,
Montgomery Blair GN,,,,
Spence MC,,,,
Durham HH,,,,
