Pro,Con,Judges,Votes,Win
Strake Jesuit  GZ,Southlake Carroll KB,"Benjamin Geffen																																						Prateek Motagi																																						Chenguang Wang","Con																															Con																															Con","3-0																															CON"
Hawken JG,Strake Jesuit  ML,"Malcolm Davis																																						Mike Siller																																						Reed Easterling","Pro																															Pro																															Pro","3-0																															PRO"
St Luke's GG,Taipei American HC,"El Contreras																																						Neo Curry																																						Brandy Carbone","Pro																															Con																															Con","2-1																															CON"
Durham BH,Cary Acad LJ,"Tiffany Dunia																																						Jun Mao																																						Jariya Wanapun","Pro																															Pro																															Pro","3-0																															PRO"
Westfield DM,NSU AT,"Cecilia Granda-Scott																																						Wyatt Hatfield																																						Pete Resnick","Con																															Con																															Con","3-0																															CON"
Millburn CW,Durham VC,"Qibin Su																																						Maryrose Kohan																																						Alvaro Cunto","Pro																															Con																															Con","2-1																															CON"
Horace Mann JS,Montgomery Blair GN,"Veer Prakash																																						Ashutosh Gubbi																																						William LaMoure","Pro																															Con																															Con","2-1																															CON"
Spence MC,Fairmont Prep MK,"Lisa Gring-Pemble																																						Tanya Moss-Barry																																						Shandra Ahsan","Pro																															Con																															Pro","2-1																															PRO"
Durham HH,Strake Jesuit  HH,"James Bailey																																						Aadhavaarasan Raviarasan																																						Daniel Rivero","Pro																															Pro																															Pro","3-0																															PRO"
Regis CM,University KA,"Richard Nash																																						yeqing tang																																						Isaac Bardin '16","Pro																															Con																															Con","2-1																															CON"
McLean HW,Flintridge Prep VC,"Gabe Rusk																																						Kylie Donovan																																						Hui Tang","Con																															Con																															Pro","2-1																															CON"
JR Masterman CA,Regis FM,"Les Phillips																																						Kate Totz																																						Victor Ma","Pro																															Pro																															Pro","3-0																															PRO"
Strake Jesuit  HC,Blake OR,"Lindsay Donovan																																						Rafeh Khan																																						Oliver Lin","Con																															Con																															Con","3-0																															CON"
Strake Jesuit  SZ,Ridge ZM,"Aditya Kurra																																						Elliot Beamer																																						Malika Khalikova","Con																															Con																															Con","3-0																															CON"
Southlake Carroll RY,Horace Mann AC,"Yiwen Wu																																						Sean Wang																																						Evan Burkeen","Pro																															Pro																															Pro","3-0																															PRO"
Brentwood CM,Brentwood SS,,Brentwood CM advances,Brentwood CM advances
