Pro,Con,Judges,Votes,Win
Lakeville North LM,Lexington SM,"Joshua Enebo																																						Swati Chakraborty																																						Michael Milles","Pro																															Pro																															Pro","3-0																															PRO"
Seven Lakes CL,Blake OR,"Jen Lee																																						Sophia Rubinstein																																						Brooke Blanton","Con																															Pro																															Pro","2-1																															PRO"
Cranbrook FQ,Langley RC,"Michelle Luo																																						Matthew Sebastian																																						Wyatt Dayhoff","Pro																															Con																															Con","2-1																															CON"
Poly Prep Country Day BN,Bronx Science KR,"Parker Klyn																																						Nicole Kroepel																																						Bryce Piotrowski","Con																															Con																															Con","3-0																															CON"
Delbarton CE,Eden Prairie FC,"Nicole Kroepel																																						Bryce Sheffield																																						Andrew Hentges","Pro																															Pro																															Pro","3-0																															PRO"
Delbarton XP,Seven Lakes MJ,"Mollie Clark																																						Sohail Jouya																																						Timothy Scheffler","Con																															Con																															Con","3-0																															CON"
North Broward Prep SA,Blake BaCa,"Mollie Clark																																						Sohail Jouya																																						Jai Chenchlani","Con																															Pro																															Con","2-1																															CON"
Edina SW,Middleton KP,"Maddie Cook																																						Jai Chenchlani																																						Alex Smith","Pro																															Pro																															Con","2-1																															PRO"
Belvidere North KB,Seven Lakes KS,"Parker Klyn																																						Lillian Albrecht																																						Joshua Enebo","Con																															Pro																															Con","2-1																															CON"
Adlai E Stevenson MQ,Delbarton XA,"Yutong Hu																																						Maddie Cook																																						Sofia Perri","Con																															Con																															Con","3-0																															CON"
Westwood VD,Lakeville North SZ,"Ben Walter																																						Brooke Blanton																																						Sofia Perri","Pro																															Con																															Pro","2-1																															PRO"
Lakeville South MB,Seven Lakes AR,"Michelle Luo																																						Matthew Sebastian																																						Wyatt Dayhoff","Pro																															Con																															Con","2-1																															CON"
Seven Lakes ML,Blake LD,"J Parrish																																						Swati Chakraborty																																						Michael Milles","Pro																															Con																															Con","2-1																															CON"
Westwood BK,Blake CK,"Tracy Brown																																						Jen Lee																																						Sophia Rubinstein","Pro																															Con																															Con","2-1																															CON"
Theodore Roosevelt LH,Cary Acad RL,"Mary Beth Armstrong																																						Timothy Scheffler																																						Andrew Hentges","Con																															Con																															Pro","2-1																															CON"
Wayzata TM,Theodore Roosevelt TB,"Ben Walter																																						Tracy Brown																																						Lillian Albrecht","Con																															Con																															Con","3-0																															CON"
