Pro,Con,Judges,Votes,Win
Vel Phillips Memorial RL,Cranbrook FQ,"Nicole Kroepel																																						Tracy Brown																																						Sophia Rubinstein","Con																															Pro																															Con","2-1																															CON"
Seven Lakes CL,Summit LM,"Shailja Panchal																																						Timothy Scheffler																																						Matthew Sebastian","Pro																															Pro																															Pro","3-0																															PRO"
Bronx Science GS,Lexington SM,"Bryce Piotrowski																																						Ben Walter																																						Sohail Jouya","Con																															Con																															Con","3-0																															CON"
Lakeville North LM,,,,
Delbarton XA,,,,
Lakeville North SZ,,,,
Lakeville South MB,,,,
Seven Lakes ML,,,,
Westwood BK,,,,
Cary Acad RL,,,,
Theodore Roosevelt TB,,,,
Wayzata TM,,,,
Theodore Roosevelt LH,,,,
Blake CK,,,,
Blake OR,,,,
Blake LD,,,,
Seven Lakes AR,,,,
Westwood VD,,,,
Adlai E Stevenson MQ,,,,
Seven Lakes KS,,,,
Edina SW,,,,
Blake BaCa,,,,
Seven Lakes MJ,,,,
Eden Prairie FC,,,,
Poly Prep Country Day BN,,,,
Langley RC,,,,
Bronx Science KR,,,,
Delbarton CE,,,,
Delbarton XP,,,,
North Broward Prep SA,,,,
Middleton KP,,,,
Belvidere North KB,,,,
