Pro,Con,Judge,Win
Brentwood SJ,Blake SV,Shikhar Kaul,Pro
NS Independent XW,North Allegheny DD,Sangeeta Kalyani,Con
Summit AP,Eden Prairie VV,Anuraag Sarangi,Pro
Summit MT,Stuyvesant BD,John Dalzell,Con
Bronx Science SV,Hunter SS,Weiyao Xiao,Con
Rye GT,Bronx Science FW,Roland Au-Yeung,Pro
Central HS Springfield KG,Stuyvesant ZO,Kion Manesh,Con
Leland MB,Vista Del Lago BP,Jun Yan,Con
BASIS Peoria Independent AL,Hamilton MP,Youngha Rissler,Con
BASIS Phoenix MS,Tri-Valley Coalition WJ,Jeffrey Taylor,Pro
Germantown SH,Livingston YZ,Wendy Meng,Con
Phillips Exeter BS,Westborough CP,Wei LI,Pro
East Ridge JS,Northwood SX,Sumukh Tendulkar,Con
Christopher Columbus RC,North Allegheny HK,Weiwei Chen,Pro
Avenues: The World BC,BASIS Phoenix PG,Nagarajan Hariharan,Con
Acton-Boxborough GS,NS Independent SZ,Jianli Yang,Pro
Lincoln East BN,Nueva DC,Madhu Venugopal,Con
NS Independent LP,Thomas S. Wootton GaAn,Suresh Pothukuchi,Pro
Iowa City West DE,Christopher Columbus GG,Subrata Saharoy,Pro
Brentwood SP,Hewitt DR,Jason Shen,Pro
BASIS Independent McLean BR,Mountain House BK,Ethan Ramos,Pro
Mission San Jose SP,Bronx Science TT,Subash Bhattachan,Pro
Seven Lakes XL,Bronx Science BM,Yakub Islamov,Pro
Acton-Boxborough LL,Walter Johnson JL,EUN-YOUNG KHO,Pro
CR North MS,Centennial HS (MD) ZC,Pravin Sahu,Pro
Lincoln East SN,Denver East ZB,Izhan Qureishy,Con
Hamilton HB,Seven Lakes EM,Teresa Uthurralt,Con
Lincoln East JS,Summit AH,Grace Flynn,Con
Lawrenceville NC,Bronx Science MN,Emma Listgarten,Con
Stuyvesant LB,Mountain House PJ,brian lam,Pro
Mission San Jose RS,Del Norte CH,Eliza Haas,Pro
Bronx Science WK,Del Norte NX,Mohammed Habeeb,Con
Livingston GZ,CR North KV,Vinita Bhutoria,Pro
Cary Acad WL,Flintridge Prep CB,Asha Biju,Con
Strawberry Crest EG,Del Norte ZN,Truman Le,Con
Hamilton GZ,NS Independent PT,Daniel Xiao,Pro
NS Independent LS,Myers Park HV,Naveen Addagudi,Con
Lawrenceville LA,Bronx Science SM,Jintao Jiang,Con
"Ridgewood HS - Ridgewood, NJ YZ",Glen Rock KF,Harsha Rajapakse,Con
Nueva CC,Cary Acad DB,Dylan McEntyre,Pro
Horace Mann BF,Leland YJ,Lekshmi Devi Venugopal,Con
Ravenwood GV,Bellaire AK,Gopikrishna Eriki,Pro
Lakeville North MZ,Scarsdale LZ,C. David Hartman,Con
Sharon SG,Hunter TC,Jai Sehgal,Con
McLean KZ,Ravenwood ST,Karun Chinthapatla,Con
Bronx Science FE,Denver East MG,Yibing Xin,Con
Iowa City West GA,Chapin RK,Bo Chen,Con
North Allegheny GR,NS Independent BT,Sharan Mudgal,Con
NS Independent RY,SD ZZ,Anokhi Mehta,Pro
NS Independent CK,Kinkaid CT,Derek Schaible,Pro
Ardrey Kell SV,Thomas S. Wootton GA,Victor Tong,Pro
Folsom CJ,Trinity TJ,Hendry Bansbach,Con
Lincoln East AG,Langley BG,Hui Liu,Pro
Nueva SE,Ardrey Kell SA,Samantha Schonfeld,Pro
Langley JL,Acton-Boxborough SiGo,Malcolm Davis,Pro
Mountain House PM,Lincoln East RW,Phillis Wan,Pro
Bronx Science IB,Syosset HS,Jamie Brashear,Pro
Mountain House DK,Horace Mann VK,Mia Goldberg,Con
Summit LD,Denver East RP,Neeru Agarwal,Pro
Del Norte WS,Lynbrook SH,Max Hong,Pro
Dalton SC,Valley Christian LL,Amy Huang,Con
Hewitt BB,Bronx Science LC,Andrew Scheufele,Pro
Leland CL,Horace Mann PJ,Kien Tran,Pro
McLean LL,Bronx Science LR,Jimmy Yang,Con
Germantown BW,Del Norte AJ,Edward Rumbos-Perez,Con
BASIS Scottsdale SS,Iowa City West AT,Tieying Huang,Con
Westborough JS,Bronx Science OT,Yan Yang,Pro
North Allegheny NS,Sharon XX,Patrice Young,Con
Nueva RI,Skyline BA,Stephen Anthony,Pro
Mission San Jose MG,Bronx Science BC,Rehan Martadinata,Pro
NS Independent KY,Westborough AS,Tina Sood,Pro
Canyon Crest SX,Bronx Science KF,Nirmala Kummathi,Pro
Emerald AO,Bronx Science WL,Amit Kulshreshtha,Pro
Nueva WM,Leland IT,Ryann Cavens,Pro
Plano West AV,Leland MR,Zahida Subramanian,Con
Trinity CM,Summit ZS,Alok Kapoor,Pro
Acton-Boxborough NS,Bronx Science CC,Zach Fleesler,Pro
Hunter TV,NS Independent DM,Pavithra Shankar,Pro
Bronx Science BV,Mission San Jose BS,Anupama Bhargava,Con
Vista Del Lago RK,Horace Mann CT,Amit Rawlani,Pro
Bellaire CX,Syosset MZ,Edgar Cheng,Pro
Bronx Science SL,Trinity AS,,"Pro FFT																									Con FFT"
