Pro,Con,Judge,Win
Iowa City West GA,Leland IT,Xiomara Jean Louis,Pro
Summit MT,Vista Del Lago RK,Daniel Xiao,Con
Sharon SG,Hamilton MP,Meena Ramakrishnan,Con
BASIS Scottsdale SS,Syosset MZ,Sayeed Sidiqyar,Con
Ravenwood GV,Bronx Science CC,Yan Yang,Con
Nueva DC,Flintridge Prep CB,Sumukh Tendulkar,Pro
Thomas S. Wootton GaAn,Bronx Science FW,Weiyao Xiao,Pro
Denver East RP,Horace Mann PJ,Ankur Jaswal,Con
McLean LL,Valley Christian LL,Izhan Qureishy,Con
Seven Lakes XL,Del Norte AJ,Emanuel Schorsch,Pro
Lincoln East AG,Brentwood SJ,Gopikrishna Eriki,Pro
Trinity AS,Livingston YZ,Tina Li,Con
Brentwood SP,Nueva CC,Minhhy Truoung,Pro
Bronx Science IB,Ardrey Kell SA,Alexander Florescu,Con
Hunter TV,Eden Prairie VV,Wanjun Wang,Con
Cary Acad DB,North Allegheny NS,Phillis Wan,Con
Vista Del Lago BP,Kennedy LN,Derek Schaible,Con
Leland MB,Lawrenceville NC,Luke Sullivan,Pro
Ardrey Kell SV,BASIS Phoenix PG,Naveen Addagudi,Con
Cary Acad WL,Acton-Boxborough SiGo,Harsha Rajapakse,Pro
Westborough CP,Christopher Columbus RC,Nan Yao,Con
Hamilton HB,Syosset HS,bill mcnairy,Pro
Stuyvesant BD,Lincoln East RW,Jignesh Shah,Pro
Bronx Science OT,Del Norte CH,Samantha Schonfeld,Con
Central HS Springfield KG,Del Norte SC,Yogini Jamdar,Pro
NS Independent CK,Livingston GZ,Weiwei Chen,Con
Denver East ZB,NS Independent BT,Wei LI,Con
Hewitt BB,Northwood SX,Ryann Cavens,Con
Germantown BW,Nueva WM,Raja Tadimeti,Con
Iowa City West AT,Summit LD,Rehan Martadinata,Con
Acton-Boxborough LL,Mountain House BK,Anupama Bhargava,Con
CR North KV,Horace Mann VK,Tanya Chatterjee,Pro
Trinity CM,Plano West AV,Tyler Zabolio,Con
Lincoln East SN,Kinkaid CT,Jeffrey Taylor,Con
Dalton SC,BASIS Phoenix MS,Jamie Brashear,Pro
Bronx Science TT,Westborough AS,Lynn Chen,Pro
Phillips Exeter BS,Blake SV,Brandon Ford,Con
Lawrenceville LA,Scarsdale LZ,Jimmy Yang,Con
Stuyvesant ZO,Bronx Science SL,Emma Listgarten,Pro
Tri-Valley Coalition WJ,Seven Lakes EM,Dylan McEntyre,Con
NS Independent PT,Bronx Science ZC,Melanie Zhang,Pro
Mountain House PJ,Bronx Science LC,Sky Juinio,Pro
Lincoln East JS,Bronx Science BM,Ashok Rajagopalan,Con
NS Independent SZ,Bronx Science SM,Nirmala Kummathi,Pro
Bronx Science HZ,Denver East MG,Karun Chinthapatla,Con
Langley JL,Strawberry Crest EG,Mia Goldberg,Con
Trinity TJ,Germantown SH,Ethan Ramos,Con
Lakeville North MZ,Bronx Science WL,Lichen Liang,Pro
Del Norte WS,Skyline BA,Pradeep Dondapati,Pro
Horace Mann CT,NS Independent DM,Wenyao Hu,Pro
Hamilton GZ,Bronx Science WK,Hong Jiang,Pro
North Allegheny DD,Hunter TC,Jintao Jiang,Pro
Bronx Science BC,Del Norte ZN,Brooke Meints,Con
Hewitt DR,Summit ZS,Sangeeta Kalyani,Pro
Avenues: The World BC,Acton-Boxborough NS,Les Phillips,Pro
NS Independent XW,SD ZZ,Max Hong,Pro
Canyon Crest SX,East Ridge JS,Abi Subramanian,Pro
Nueva SE,Horace Mann BF,Jai Sehgal,Pro
Nueva RI,Leland MR,Anokhi Mehta,Con
Hunter SS,Summit AP,Lama Mulki,Con
Sharon XX,Chapin RK,Wendy Meng,Pro
Lincoln East BN,Bronx Science BV,Adam Meskouri,Pro
Ravenwood ST,Mountain House DK,Jun Yan,Con
Summit AH,BASIS Peoria Independent AL,Asha Biju,Con
Rye GT,Mission San Jose SP,brian lam,Con
Mission San Jose BS,Bronx Science MN,Olga Sayyidina,Con
Bronx Science SV,Myers Park HV,Austin Siefken,Con
North Allegheny HK,McLean KZ,Patrice Young,Pro
Stuyvesant LB,Centennial HS (MD) ZC,Ravi Pasumarthi,Pro
North Allegheny GR,Mountain House PM,Masha Rubashkina,Pro
Glen Rock KF,Langley BG,Albert Shore,Con
NS Independent KY,Thomas S. Wootton GA,Subash Bhattachan,Pro
"Ridgewood HS - Ridgewood, NJ YZ",Folsom CJ,Ilya Zharov,Con
Christopher Columbus GG,Emerald AO,Amy Huang,Pro
Acton-Boxborough GS,Bellaire AK,Ying Zou,Pro
Del Norte NX,NS Independent LP,John Holen,Con
Mission San Jose RS,Bronx Science LR,Ram Miller,Pro
CR North MS,Leland CL,Subrata Saharoy,Con
Walter Johnson JL,Lynbrook SH,Christina Xu,Pro
Iowa City West DE,Leland YJ,Tieying Huang,Con
BASIS Independent McLean BR,NS Independent RY,Truman Le,Pro
Bellaire CX,Mission San Jose MG,Rajul Mamgain,Con
NS Independent LS,Bronx Science KF,Daniel Li,Pro
Rye TT,Westborough JS,,"Pro FFT																									Con BYE"
,Bronx Science FE,,Con BYE
