Pro,Con,Judge,Win
NS Independent DM,"Ridgewood HS - Ridgewood, NJ YZ",Derek Schaible,Pro
Northwood SX,NS Independent BT,Austin Siefken,Pro
Summit MT,Del Norte CH,Rehan Martadinata,Pro
Nueva WM,Chapin RK,Emanuel Schorsch,Con
Avenues: The World BC,Mountain House PJ,Izhan Qureishy,Pro
Mountain House DK,NS Independent LP,Amit Kumar,Pro
Brentwood SJ,Bronx Science TT,Sangeeta Shroff,Pro
Hamilton HB,Horace Mann BF,Ravi Pasumarthi,Con
Hewitt BB,Sharon XX,Neeru Agarwal,Con
Leland YJ,Seven Lakes XL,Edward Rumbos-Perez,Pro
Leland MB,Acton-Boxborough LL,Albert Shore,Con
Iowa City West DE,Skyline BA,Ryann Cavens,Pro
Bellaire CX,Dalton SC,Ethan Ramos,Pro
BASIS Phoenix PG,NS Independent RY,Tequa Salehi-Rad,Con
Stuyvesant BD,Bronx Science BV,Weiyao Xiao,Pro
Nueva RI,Del Norte AJ,Sangeeta Kalyani,Pro
NS Independent CK,Ardrey Kell SV,Truman Le,Pro
East Ridge JS,Bronx Science LC,Henry Peter,Pro
Lynbrook SH,Scarsdale LZ,Asha Biju,Pro
Vista Del Lago BP,Bronx Science WK,Tina Li,Pro
Hunter SS,Del Norte ZN,Yibing Xin,Pro
Centennial HS (MD) ZC,Bronx Science SV,Kion Manesh,Pro
Stuyvesant LB,Bronx Science SL,Ram Miller,Pro
Plano West AV,Bronx Science OT,Les Phillips,Pro
Glen Rock KF,Hewitt DR,Amit Rawlani,Con
Syosset HS,Acton-Boxborough SiGo,Nan Yao,Con
Horace Mann VK,North Allegheny DD,Melanie Zhang,Pro
Sharon SG,Bronx Science KF,John Holen,Con
Bellaire AK,BASIS Independent McLean BR,Nagarajan Hariharan,Con
Seven Lakes EM,Summit AH,brian lam,Con
Christopher Columbus GG,Flintridge Prep CB,Gary Ji,Con
Trinity AS,Leland CL,Mehul Lakhanpal,Con
Trinity TJ,Mission San Jose BS,Patrick Dugan,Pro
NS Independent SZ,Langley BG,Weiwei Chen,Pro
Kennedy LN,Denver East ZB,Shuhag Ghosh,Con
Lincoln East BN,Rye GT,Masha Rubashkina,Con
Bronx Science FE,Westborough AS,Lichen Liang,Con
Ravenwood GV,SD ZZ,Jimmy Yang,Con
Tri-Valley Coalition WJ,Bronx Science SM,Adam Meskouri,Pro
Phillips Exeter BS,Walter Johnson JL,Amy Huang,Con
Bronx Science LR,Mission San Jose MG,Brooke Meints,Con
BASIS Scottsdale SS,CR North KV,Hendry Bansbach,Con
Bronx Science BC,Lincoln East RW,Sky Juinio,Con
Vista Del Lago RK,Westborough JS,Sumukh Tendulkar,Pro
Nueva CC,Valley Christian LL,Lama Mulki,Pro
Denver East RP,Hamilton MP,Jun Yan,Pro
Trinity CM,Mission San Jose SP,Ravi Tiyyagura,Pro
Del Norte NX,Brentwood SP,Naveen Addagudi,Con
NS Independent KY,Horace Mann CT,Emma Listgarten,Con
NS Independent PT,Myers Park HV,Rajul Mamgain,Con
Bronx Science IB,BASIS Phoenix MS,Nirmala Kummathi,Pro
Folsom CJ,Hunter TV,Jignesh Shah,Con
Blake SV,Bronx Science WL,Teresa Uthurralt,Con
McLean LL,Bronx Science ZC,Anupama Bhargava,Pro
Bronx Science CC,Nueva SE,Sharan Mudgal,Con
Denver East MG,BASIS Peoria Independent AL,Abi Subramanian,Con
NS Independent LS,Horace Mann PJ,Meena Ramakrishnan,Con
Kinkaid CT,Bronx Science BM,Roland Au-Yeung,Pro
Mountain House BK,Hamilton GZ,Roselie Schneider,Pro
CR North MS,Germantown BW,Wei LI,Pro
Acton-Boxborough NS,Cary Acad WL,Tanya Chatterjee,Pro
Lincoln East AG,Bronx Science HZ,Ashok Rajagopalan,Pro
Stuyvesant ZO,Iowa City West GA,Sayeed Sidiqyar,Con
Cary Acad DB,Livingston GZ,Pradeep Dondapati,Pro
Livingston YZ,Del Norte WS,Anokhi Mehta,Con
Mountain House PM,Leland MR,Tyler Zabolio,Con
Iowa City West AT,Thomas S. Wootton GA,Vinita Bhutoria,Pro
Hunter TC,Strawberry Crest EG,Olga Sayyidina,Con
Central HS Springfield KG,North Allegheny GR,Wanjun Wang,Con
Del Norte SC,Summit LD,Christina Xu,Con
North Allegheny NS,Mission San Jose RS,Stephen Anthony,Pro
Germantown SH,North Allegheny HK,Tieying Huang,Pro
Summit AP,Thomas S. Wootton GaAn,Ying Zou,Pro
Syosset MZ,Bronx Science FW,Shikhar Kaul,Pro
Canyon Crest SX,Acton-Boxborough GS,Phillis Wan,Pro
Emerald AO,Ravenwood ST,Mia Goldberg,Con
Leland IT,Lakeville North MZ,Aniketh Ayuluri,Pro
NS Independent XW,Summit ZS,Jamie Brashear,Con
Bronx Science MN,Eden Prairie VV,Malcolm Davis,Con
Lawrenceville LA,Westborough CP,Akshana Dassanaike,Pro
Lawrenceville NC,Langley JL,Jamie Kim,Con
Christopher Columbus RC,Ardrey Kell SA,Wenyao Hu,Con
Lincoln East JS,McLean KZ,Luke Sullivan,Pro
SD SW,Nueva DC,,"Pro FFT																									Con BYE"
Lincoln East SN,Rye TT,,"Pro BYE																									Con FFT"
