Aff,Neg,Judges,Votes,Win
Lake Highland Prep PS,Midtown HJ,"Hunter Sexton																																						Sebastian Cho																																						Feng Liang","Neg																															Neg																															Aff","2-1																															NEG"
Lake Highland Prep HL,Jordan KV,"Robert Quinn																																						Gabe Floyd																																						Misty Wang","Neg																															Aff																															Aff","2-1																															AFF"
Lake Highland Prep WH,Village SZ,"Stephen Scopa																																						Ethan Massa																																						Haider Malik","Neg																															Neg																															Aff","2-1																															NEG"
Clear Lake RM,Harrison JG,"Rose Larson																																						Tajaih Robinson																																						Bernardo Medeiros","Aff																															Aff																															Aff","3-0																															AFF"
