Pro,Con,Judges,Votes,Win
Christopher Columbus AC,Bronx Science OS,"Andy Stubbs																																						Kieran Kelly																																						Benjamin Hodges","Pro																															Pro																															Pro","3-0																															PRO"
Midtown MB,Christopher Columbus RC,"Kristina Plunkett																																						Elise Matton																																						Zach Dyar","Pro																															Pro																															Pro","3-0																															PRO"
Carrollton HH,Albuquerque HS,"Tracy Brown																																						Annette Chambers																																						Arthur Kulawik","Pro																															Con																															Con","2-1																															CON"
Bronx Science AC,Bronx Science BD,,Bronx Science AC advances,Bronx Science AC advances
