Pro,Con,Judges,Votes,Win
Plano West MZ,Seven Lakes LZ,"Eli Glickman																																		Joseph Donowho																																		Nahom Tulu","Con																												Con																												Con","3-0																															CON"
Seven Lakes CH,Southlake Carroll SP,"Nate Kruger																																		David Kennedy																																		William Erard","Pro																												Pro																												Pro","3-0																															PRO"
Seven Lakes KM,Westlake PK,"Sergio Martinez																																		Wyatt Alpert																																		Atul Kapoor","Pro																												Con																												Pro","2-1																															PRO"
Jasper LK,Oakwood HW,"Cale McCrary																																		Sanjitha Yedavalli																																		Gabriel Thome","Pro																												Pro																												Pro","3-0																															PRO"
