Aff,Neg,Judge,Win,"Aff								Points","Neg								Points"
Harvard-Westlake LD,Strake Jesuit  AS,Alice Waters,Neg,28,29
Heights CT,Carnegie Vanguard LH,Gordon Krauss,Neg,29,30
Harker RA,Marlborough HL,Jason Sykes,Neg,28,28
Walt Whitman HZ,Lovejoy SD,dylan jones,Aff,29,29
Westwood AP,Kinkaid SZ,Gordon Krauss,Neg,28,29
Newark Science AM,Strake Jesuit  OZ,Anna Myers,Aff,29,28
Harvard-Westlake JT,Strake Jesuit  KM,David Dosch,Neg,28,29
Winston Churchill EM,Christopher Columbus MM,Patrick Fox,Neg,28,29
Marlborough MJ,Harvard-Westlake WL,Anna Herrig,Aff,30,30
Jasper RC,Delores Taylor Arthur School for Young Men JB,Clement Agho-Otoghile,Neg,29,29
Immaculate Heart SS,Flower Mound AM,Jonathan Meza,Aff,29,29
Troy AP,Harker PG,Sai Karavadi,Aff,30,30
Village SZ,Harvard-Westlake MT,John Sims,Aff,29,29
St Agnes SL,Lynbrook OM,Anna Myers,Neg,28,29
Monta Vista KR,Heights EP,Aashir Sanjrani,Aff,29,29
St Agnes EH,Cary Acad RR,Sai Karavadi,Aff,30,29
Strake Jesuit  SV,Harker AS,Lilly Broussard,Neg,29,30
Peninsula SU,Meadow Glen VW,Patrick Fox,Aff,29,29
Peninsula AY,McNeil KJ,Nelson Okunlola,Neg,28,28
Greenhill MA,Coppell KT,Jonathan Alston,Neg,28,28
Northland Christian JM,Sage Oak Charter AK,Alexander Yoakum,Neg,28,30
Plano East PG,Peninsula KN,David Dosch,Aff,29,29
Westlake MR,Barrington AC,Brett Cryan,Aff,30,29
Harker AA,Brophy YS,Isaac Chao,Aff,28,28
Dulles JC,West Des Moines Valley JB,Temitope Ogundare,Aff,27,27
Immaculate Heart AW,BASIS Independent Silicon Valley JK,Chris Castillo,Aff,28,28
Immaculate Heart HY,Westlake AH,Brett Cryan,Aff,29,28
Carnegie Vanguard JB,Coppell EH,Chaz Wyche,Aff,29,29
Westwood IX,Cary Acad DH,Armaan Christ,Neg,28,30
Concord Carlisle FZ,McNeil AB,Blake Ziegler,Neg,29,29
Stephen F Austin EN,Southlake Carroll GD,Elmer Yang,Neg,29,29
Marlborough WR,Newark Science AL,Christopher Stearns,Aff,30,30
Immaculate Heart EL,Northland Christian JH,Elmer Yang,Aff,29,29
Stanford OHS AY,Harrison JG,Joey Antonelli,Neg,29,29
Southlake Carroll TY,Strake Jesuit  VJ,Dominic Henderson,Neg,28,29
McNeil AS,Arizona LK,Nicholas Copland,Aff,29,28
Plano East VR,Winston Churchill PH,Allyson Spurlock,Aff,29,29
Lake Washington AC,Greenhill AK,Michael Harris,Aff,28,28
Travis B. Bryan EC,St Agnes CL,Claudia Ribera,Neg,29,29
Harker VL,Dulles CS,Cana Blanton,Aff,29,28
Clear Springs EG,Harker SS,dylan jones,Neg,29,29
Peninsula AL,Northland Christian LM,Anna Herrig,Aff,29,28
Peninsula AB,Notre Dame San Jose AG,Jonathan Meza,Neg,30,30
Strake Jesuit  NW,Lynbrook MD,Lilly Broussard,Aff,29,28
Lynbrook JH,Meadows ZN,Erick Berdugo,Neg,29,29
Brophy TJ,Harvard-Westlake LR,Allyson Spurlock,Aff,29,29
Coppell SK,Monta Vista AA,Riley Rees,Neg,29,29
Strake Jesuit  JW,LAMP RR,Muzzi Khan,Aff,29,29
Southlake Carroll AS,East Chapel Hill AX,Alice Waters,Aff,29,28
West Des Moines Valley LS,Harrison JB,Suhani Jampala,Neg,30,30
McNeil MY,Dulles TV,Temitope Ogundare,Neg,27,28
Lynbrook BZ,Northland Christian AH,Chris Castillo,Aff,29,29
