Aff,Neg,Judge,Result,"Aff								Points","Neg								Points"
Leland MN,Brophy TJ,Andrea Reier,Neg,29,28
Harrison JG,Stuyvesant EL,Ben Bozza,Aff,28,28
Christopher Columbus AM,Lexington AnMa,Jack Daou,Aff,29,29
Stuyvesant HJ,Bergen County Academies AK,Ben Erdmann,Neg,29,29
Lexington AM,ChaCou AC,Fabrice Etienne,Aff,29,28
Harrison MB,Lexton TG,Bennett Fees,Aff,29,28
Princeton AS,San Mateo YR,Faizaan Dossani,Neg,28,30
Stuyvesant MZ,Hunter AI,Jonah Gentleman,Aff,29,29
Bronx Science SP,Nashua HS South EG,Javier Hernandez,Neg,28,29
Princeton PE,Christopher Columbus NG,James Hu,Neg,28,28
Edgemont Junior-Senior AJ,Stuyvesant DZ,Animesh Joshi,Aff,28,28
West Des Moines Valley LS,McNeil AG,Chasia Jeffries,Neg,29,29
Mission San Jose AA,Lexington EY,Anshuman Mishra,Aff,28,28
Princeton JG,Harrison TB,Eric He,Neg,29,29
Scarsdale DW,Harrison EM,Conal Thomas-McGinnis,Neg,28,29
Brophy CC,Princeton VC,Forrest Weintraub,Aff,29,29
Lexington AKo,Bronx Science VT,David Wrone,Aff,29,28
Princeton DW,,,,,
