Aff,Neg,Judge,Result,"Aff								Points","Neg								Points"
McNeil AG,Lexton TG,Beth Behrend,Neg,28,29
Lexington AnMa,Mission San Jose AA,Ben Bozza,Aff,28,28
Lexington AM,Harrison MB,Paresh Chauhan,Neg,29,29
Bronx Science SP,West Des Moines Valley LS,Jack Daou,Aff,29,28
Brophy TJ,Stuyvesant DZ,Fabrice Etienne,Aff,28,28
Princeton DW,Christopher Columbus NG,Peter Floyd,Neg,28,29
Lexington EY,Stuyvesant MZ,Javier Hernandez,Aff,28,28
Stuyvesant EL,Princeton PE,Justin Sayoto,Neg,28,29
Christopher Columbus AM,Leland MN,Jian Hu,Aff,28,28
ChaCou AC,Lexington AKo,James Hu,Neg,28,29
Hunter AI,Princeton AS,Animesh Joshi,Aff,29,29
Brophy CC,Scarsdale DW,T.J. Maher,Aff,29,28
Harrison JG,Princeton VC,Akshay Manglik,Neg,28,29
Nashua HS South EG,Stuyvesant HJ,Jayesh Patel,Aff,28,28
Bronx Science VT,Harrison TB,Andrea Reier,Neg,27,28
Princeton JG,Harrison EM,Pratik Shah,Aff,29,29
San Mateo YR,Bergen County Academies AK,Dorien Steadman,Neg,29,30
