Aff,Neg,Judge,Result,"Aff								Points","Neg								Points"
West Des Moines Valley LS,Brophy TJ,Beth Behrend,Neg,28,29
Stuyvesant MZ,Lexington AM,Ben Bozza,Aff,28,28
Lexton TG,Nashua HS South EG,Paresh Chauhan,Aff,29,29
Stuyvesant DZ,Bronx Science VT,Faizaan Dossani,Neg,29,29
Harrison TB,Princeton DW,Ben Erdmann,Neg,29,29
Princeton PE,Hunter AI,Bennett Fees,Neg,29,30
Lexington AKo,San Mateo YR,Peter Floyd,Aff,29,29
Princeton AS,Stuyvesant EL,Jonah Gentleman,Aff,29,28
Bergen County Academies AK,Lexington EY,Kayla Graham,Neg,28,29
Harrison MB,Lexington AnMa,Chasia Jeffries,Aff,29,27
Princeton VC,McNeil AG,Animesh Joshi,Aff,29,29
Christopher Columbus NG,Princeton JG,,"Aff FFT																									Neg BYE","Aff FFT																									Neg BYE",
Scarsdale DW,Harrison JG,Anshuman Mishra,Neg,28,28
Leland MN,Brophy CC,EZE N,Neg,29,29
Stuyvesant HJ,ChaCou AC,Pratik Shah,Aff,25,25
Harrison EM,Christopher Columbus AM,Dorien Steadman,Neg,29,30
Mission San Jose AA,Bronx Science SP,Conal Thomas-McGinnis,Aff,29,28
