Aff,Neg,Judge,Result,"Aff								Points","Neg								Points"
Carnegie Vanguard LS,Vestavia Hills DS,Alex Berry,Neg,28,29
Mount Vernon TK,St Thomas More ND,Chloe Brown,Aff,30,29
St Mary's Dominican SR,Shady Side NP,Jeremy Chu,Neg,29,29
Strake Jesuit  RC,Carnegie Vanguard LH,Cyprian Dumas,Aff,30,30
Vestavia Hills TP,Isidore Newman NX,Fabrice Etienne,Aff,28,28
McNeil AG,Cary NS,Micah Everson,Aff,28,29
Russellville HS Forensics/Debate AG,Livingston RB,Dominic Henderson,Neg,27,25
Strake Jesuit  DO,Caddo Magnet JH,Devin Jiang,Aff,29,29
Isidore Newman SW,Russellville HS Forensics/Debate DC,Kelley Kirkpatrick,Neg,28,28
Kenston EJ,Village RB,Javier Navarrete,Neg,29,29
Round Rock SV,Harrison MB,Zach Perry,Neg,30,30
Russellville HS Forensics/Debate BC,Dallastown OL,Igor Poltinnikov,Neg,28,28
Strake Jesuit  HZ,Harrison TB,Oliver Ranner,Aff,29,28
Cary CP,Vestavia Hills GJ,Michael Stephan,Aff,29,30
Isidore Newman PJ,Strake Jesuit  ID,Jeff Swift,Neg,28,29
Strake Jesuit  JK,St Agnes EH,Jharick Shields,Aff,28,28
Harrison JC,Murrah PH,John Sims,Aff,29,28
JPG JF,L C Anderson AS,Kelvin Yi,Neg,29,30
Isidore Newman IL,,,Aff BYE,Aff BYE,
