Aff,Neg,Judge,Result
,Tays KM,,Neg BYE
Marlborough OO,Wyoming Virtual JC,Darin Park,Neg
Immaculate Heart EL,Midtown AS,Kwudjwa Osei,Neg
Marlborough MS,Harvard-Westlake KD,Jonathan Meza,Neg
Memorial BD,Plano East Senior JN,Sam Larson,Aff
Marlborough LF,Uni RN,Nikki Aqui,Neg
West Ranch SV,Aragon ZA,Andrew Sinsioco,Aff
West Des Moines Valley RT,Plano East Senior RP,Joshua StPeter,Neg
Sequoia AS,Harvard-Westlake JK,Yoyo Lei,Aff
Marlborough ML,Millard North AR,Saketh Kotapati,Aff
Plano East Senior AW,Marlborough ZG,Matthew Stinson,Neg
Mission San Jose AA,Cogito CL,Zoella Lin,Aff
Midtown FB,Able2Shine MC,Erika Linares,Neg
Marlborough PP,Immaculate Heart BC,Tej Gedela,Neg
Monta Vista KR,Stockdale GS,Gabriela Gonzalez,Aff
Millard North NL,LHS YL,Aditya Madaraju,Aff
Marlborough SK,Windward HK,Samantha McLoughlin,Neg
Marlborough MJ,Harvard-Westlake JH,Kavin Kumaravel,Aff
Vestavia Hills DS,La Costa Canyon MZ,Lukas Krause,Aff
Lexington AR,Millard North JS,Andrew Torrez,Neg
Harvard-Westlake WL,Portola AS,Shikhar Srivastava,Neg
Lexington AS,Lynbrook MD,Jacob Nails,Neg
Brophy CC,Sage Hill MP,Annabelle Long,Neg
Immaculate Heart MF,Harvard-Westlake ML,Savit Bhat,Neg
St Agnes EH,Mission San Jose AD,Claudia Ribera,Aff
Ayala AM,Immaculate Heart SP,Srinidhi Yerraguntala,Aff
Stanford OHS AY,Able2Shine EZ,Jalyn Wu,Aff
Southlake Carroll PK,Portola NJ,Nathan Russell,Aff
Harvard-Westlake LD,Stockdale RP,Valorie Lam,Neg
Marlborough AK,Unionville PW,Derek Hilligoss,Neg
OA Independent VD,Harvard-Westlake AT,Gerard Grigsby,Aff
Lynbrook SY,Lexington AM,Scott Brown,Neg
Harvard-Westlake NL,Marlborough HL,Tarun Ratnasabapathy,Neg
Village RB,Immaculate Heart SS,Leah Clark-Villanueva,Neg
Harvard-Westlake EJ,Catonsville AT,Madeleine Conrad-Mogin,Neg
Archer SC,Beckman PD,Dominic Henderson,Neg
Harvard-Westlake MT,Plano East Senior AD,Diana Alvarez,Aff
Brophy TJ,Proof DR,Aryan Jasani,Neg
Orange Lutheran AZ,Northern Valley HS Independent JS,Truman Le,Neg
Mountain View EN,Harvard-Westlake AW,Jacob Lugo,Neg
West Ranch JY,Windward LP,David McGinnis,Aff
Fullerton Union AB,McNeil AG,Gordon Krauss,Neg
Troy Independent AP,Marlborough SG,Dillon Johnson,Aff
Northwood ST,Wyoming Virtual HG,Joseph Barquin,Neg
Midtown KT,Immaculate Heart JL,Sam Gustavson,Neg
Iowa City West FZ,Sammamish LW,Ben Cortez,Neg
Crean JZ,Marlborough GA,Jack Barber,Neg
St Francis HU,West Des Moines Valley AM,Tajai Robinson,Neg
Marlborough PS,Monta Vista RD,Eric He,Neg
Marlborough WR,West Des Moines Valley MM,Aayush Patel,Aff
OCSA AK,Immaculate Heart RR,Forrest Fulgenzi,Neg
Rye Country Day SK,Northwood AA,Lawrence Zhou,Neg
Windward AE,Sage Hill JS,Naomi Alan,Neg
