Aff,Neg,Judge,Result
Sage Hill JS,Immaculate Heart EL,Krishna Akshantala,Aff
Windward LP,Archer SC,Naomi Alan,Neg
McNeil AG,Village RB,Diana Alvarez,Aff
Able2Shine EZ,Marlborough SK,Nikki Aqui,Aff
Mission San Jose AD,Brophy TJ,Joseph Barquin,Neg
Lexington AM,Marlborough AK,Savit Bhat,Neg
Stockdale GS,West Ranch JY,Scott Brown,Aff
West Des Moines Valley AM,Windward AE,Victor Chen,Aff
Harvard-Westlake AW,Marlborough OO,Madeleine Conrad-Mogin,Aff
Midtown AS,Lexington AS,Morgan Copeland,Neg
Harvard-Westlake ML,Rye Country Day SK,Ben Cortez,Aff
Plano East Senior RP,Marlborough PS,David Dosch,Aff
Portola NJ,Marlborough MJ,Forrest Fulgenzi,Neg
Northern Valley HS Independent JS,St Agnes EH,Tej Gedela,Neg
Harvard-Westlake JH,Northwood ST,Gerard Grigsby,Aff
Catonsville AT,Marlborough MS,Sam Gustavson,Aff
Aragon ZA,St Francis HU,Michael Harris,Neg
Immaculate Heart JL,Monta Vista KR,Eric He,Aff
Portola AS,Midtown FB,Dominic Henderson,Aff
Marlborough SG,OA Independent VD,Derek Hilligoss,Neg
Stockdale RP,Sequoia AS,Aryan Jasani,Neg
Unionville PW,Marlborough WR,Dillon Johnson,Neg
Tays KM,Vestavia Hills DS,Braedon Kirkpatrick,Neg
Beckman PD,Orange Lutheran AZ,Saketh Kotapati,Neg
Millard North JS,Crean JZ,Lukas Krause,Aff
Immaculate Heart SP,Marlborough ML,Gordon Krauss,Neg
Immaculate Heart RR,Iowa City West FZ,Kavin Kumaravel,Aff
Plano East Senior AD,Harvard-Westlake EJ,Valorie Lam,Neg
Immaculate Heart BC,Harvard-Westlake MT,Sam Larson,Neg
Marlborough ZG,West Des Moines Valley RT,Truman Le,Neg
Able2Shine MC,Plano East Senior AW,Yoyo Lei,Neg
West Des Moines Valley MM,Marlborough PP,Zoella Lin,Aff
Monta Vista RD,Southlake Carroll PK,Annabelle Long,Neg
Harvard-Westlake JK,Fullerton Union AB,Jacob Lugo,Neg
Millard North AR,Marlborough LF,Aditya Madaraju,Neg
Cogito CL,Midtown KT,David McGinnis,Aff
Wyoming Virtual JC,Brophy CC,Samantha McLoughlin,Neg
Northwood AA,Immaculate Heart MF,Sherry Meng,Neg
LHS YL,Harvard-Westlake WL,Jonathan Meza,Neg
Sammamish LW,Mission San Jose AA,Jacob Nails,Aff
Windward HK,Harvard-Westlake NL,Aayush Patel,Neg
Harvard-Westlake AT,Stanford OHS AY,Christopher Perez,Neg
Proof DR,Ayala AM,Tarun Ratnasabapathy,Neg
Lynbrook MD,OCSA AK,Claudia Ribera,Neg
Marlborough HL,Millard North NL,Nathan Russell,Neg
Sage Hill MP,Troy Independent AP,Shikhar Srivastava,Aff
Wyoming Virtual HG,Harvard-Westlake LD,Joshua StPeter,Neg
Uni RN,Mountain View EN,Matthew Stinson,Neg
Plano East Senior JN,Lynbrook SY,Andrew Torrez,Aff
Marlborough GA,Lexington AR,Immanuel Victor,Neg
Harvard-Westlake KD,West Ranch SV,Srinidhi Yerraguntala,Aff
Immaculate Heart SS,Memorial BD,Lawrence Zhou,Neg
La Costa Canyon MZ,,,Aff BYE
