Aff,Neg,Judge,Win,"Aff								Points","Neg								Points"
Edgemont SU,Greenhill AK,Frasat Chaudhry,Neg,28.0,29.0
Bronx Science IM,Ridge MS,Victoria D-Rengel,Neg,28.0,29.5
Millburn LH,Greenhill DM,Philip Dai,Neg,29.1,29.2
Northern Valley AC,Mavericks RS,Christian Quiroz,Aff,28.8,28.2
Millburn RD,Isidore Newman AB,Rodrigo Paramo,Neg,28.6,28.8
Bronx Science KL,Newark Tech IR,Raina Batra,Aff,29.3,27.0
Harrison AN,Waring MB,Sonnie Picallo,Neg,28.7,29.6
Hunter SO,Lexington LY,Anna Myers,Aff,29.1,29.0
Bronx Science GG,Harrison RP,Judy Perry,Neg,28.5,28.7
Newark Science AL,Greenhill MA,Dylan McEntyre,Aff,29.5,29.3
Lexington NG,Lawrenceville MM,Nicholas Ford,Neg,27.5,29.3
Ridge AM,Bronx Science LW,Chetan Hertzig,Aff,29.1,29.0
St Luke's DG,Isidore Newman DC,Fianah McMillan,Aff,30.0,29.5
Newark Tech VA,Horace Greeley SG,Mattew Anazco,Neg,28.5,28.9
Poly Prep Country Day RG,Cary Acad LM,Logan Aviles,Neg,28.5,29.0
Ridge SK,Harrison BK,Brad Hodgkins,Aff,28.4,28.1
Bronx Science AT,Ridge HK,Sonali Nicola,Neg,28.0,28.5
Harrison JG,Lexington AL,Will Trinh,Aff,29.2,29.1
Harrison AG,Bronx Science SS,Pranathi Srirangam,Aff,29.0,28.5
Horace Greeley SR,Acton-Boxborough NK,Ben Crossan,Neg,28.0,28.4
Brearley IL,Northstar Academy HS - Newark JO,Ian Stein,Aff,29.1,29.0
Bronx Science KO,Lexington OO,David Asafu-Adjaye,Neg,28.6,28.7
Greenhill SK,Bronx Science LS,Colton Gilbert,Aff,29.6,28.8
Mountain Lakes EW,Little Rock Central CS,Saied Beckford,Aff,29.2,29.1
Wheatley AM,Cherry Hill HS East CR,Curtis Ortega,Aff,28.9,29.0
Lexington KLu,Horace Greeley AM,Elizabeth Elliott,Neg,28.8,28.9
Germantown CZ,Northern Valley HK,Carlos Astacio,Aff,28.3,28.2
Edgemont AP,Greenhill VT,Maddox Gates,Neg,29.0,29.2
Harrison JB,Lexington GC,Elijah Smith,Aff,29.3,28.0
Isidore Newman SE,Harrison FW,Blake Ziegler,Neg,28.7,29.0
Brearley IC,Lawrenceville TH,Sasan Kasravi,Aff,28.8,29.0
Newark School of Global Studies NR,Harrison AGa,Jose Rivera,Neg,26.5,28.0
Lexington NP,Horace Greeley CC,Shruti Narayanabhatla,Neg,27.9,28.0
Bronx Science JS,,,,,
