Pro,Con,Judges,Votes,Win
Montgomery Blair LT,Acton-Boxborough DM,"Emma O'Farrell																																		Arjun Banerjee																																		Ethan Schwartz","Pro																												Con																												Con","2-1																															CON"
Glen Rock BergenTech OG,Strake Jesuit  SZ,"Hilary Chen																																		Rohit Srivastava																																		Varinder Kumar","Con																												Pro																												Pro","2-1																															PRO"
Paideia independent AD,Monta Vista GT,"Akhil Perla																																		Heba Haq																																		Meghana Kulkarni","Con																												Pro																												Con","2-1																															CON"
Independent Nomads CT,Lynbrook BK,"Sudhakshina Maddipatla																																		Xiomara Jean-Louis																																		Maddie Cook","Pro																												Pro																												Con","2-1																															PRO"
Quarry Lane MS,Sidwell BS,"Leah Gillion																																		Andrew Thong																																		Adam Meskouri","Pro																												Pro																												Pro","3-0																															PRO"
Quarry Lane LY,Bergen County Independent PS,"Beth Cole																																		Mrinalini Vittal																																		Diya Patel","Con																												Pro																												Pro","2-1																															PRO"
Blake BP,Chantilly DN,"Suniti Kanodia																																		Sierra Duncan																																		Visali Kodali","Con																												Pro																												Con","2-1																															CON"
Desert Sands PS,,,,
Theodore Roosevelt LT,,,,
Theodore Roosevelt GA,,,,
College Prep DS,,,,
Lynbrook BS,,,,
VDA - Vancouver WY,,,,
Mira Loma CS,,,,
Mira Loma GS,,,,
Saratoga RS,,,,
Fairmont Prep PT,,,,
Winston Churchill GH,,,,
Fairmont Prep MM,,,,
Potomac CV,,,,
Acton-Boxborough FE,,,,
Potomac CM,,,,
Quarry Lane BS,,,,
Mira Loma SA,,,,
Central GG,,,,
Sidwell CZ,,,,
Saratoga GJ,,,,
JR Masterman KE,,,,
Davidson Academy Online KP,,,,
Acton-Boxborough SW,,,,
Milpitas CC,,,,
Acton-Boxborough LJ,,,,
