Pro,Con,Judges,Votes,Win
Bellaire CL,Plano West CK,"Mariana Rai																																						Jack Hasper																																						John Klassen","Pro																															Con																															Pro","2-1																															PRO"
Southlake Carroll DT,Winston Churchill IM,"Ishan Dubey																																						Ivan Lin																																						Robert Holmes","Con																															Con																															Con","3-0																															CON"
Thomas S. Wootton TT,Westwood RB,"Mariana Rai																																						Jack Hasper																																						John Klassen","Pro																															Pro																															Con","2-1																															PRO"
Jasper RB,Seven Lakes LL,"Isaac Chao																																						Gordon Wilson																																						Tiffany Tucker","Con																															Pro																															Con","2-1																															CON"
Westwood NY,Harker LL,"Gabrielle Smith																																						Andy Stubbs																																						Sachin Wadhwa","Con																															Con																															Con","3-0																															CON"
Strake Jesuit  MH,Southlake Carroll GW,"D'Layne Kelly																																						Satvik Mahendra																																						Manhua Kim","Pro																															Con																															Con","2-1																															CON"
Strake Jesuit  HM,Awty International ZZ,"Anthony Brown																																						Hui Tang																																						Bryan Benitez","Con																															Con																															Con","3-0																															CON"
Flower Mound MI,Strake Jesuit  HW,"D'Layne Kelly																																						Satvik Mahendra																																						Manhua Kim","Pro																															Pro																															Pro","3-0																															PRO"
Christopher Columbus AC,Westlake GR,"Anthony Brown																																						Hui Tang																																						Bryan Benitez","Pro																															Pro																															Pro","3-0																															PRO"
Dulles LH,McLean KW,"Tyler Crivella																																						Vivek Yarlagedda																																						Austin Zhao","Con																															Con																															Con","3-0																															CON"
Westwood SP,Westwood NS,,Westwood SP advances,Westwood SP advances
Seven Lakes EM,Seven Lakes CM,,Seven Lakes EM advances,Seven Lakes EM advances
Plano West BY,,,,
Plano West LK,,,,
Flower Mound KK,,,,
Strake Jesuit  SZ,,,,
