Pro,Con,Judges,Votes,Win
Poly Prep Country Day ST,Walt Whitman HH,"Jacquelynn Lin																																		James Cohen																																		Ashish Mittal","Pro																												Con																												Con","2-1																															CON"
Durham SW,Phillipsburg BM,"Jenny Li																																		Daqing Li																																		Paul Kane","Con																												Con																												Con","3-0																															CON"
Chapin WI,Durham HP,"David Levin																																		Mike Jones																																		Etta Humes","Con																												Con																												Con","3-0																															CON"
Princeton HP,Regis FJ,"Ayanava Ganguly																																		Jianguo Fan																																		Adam Fontana","Con																												Con																												Con","3-0																															CON"
Lexington FS,Regis GM,"Allyson Delnore																																		Jen Lee																																		Vipul Gupta","Con																												Pro																												Con","2-1																															CON"
Bronx Science AE,Regis KS,"Lisa Gring-Pemble																																		Immanuel Kim																																		Riley Shea","Con																												Con																												Con","3-0																															CON"
Ridge IP,Bronx Science GZ,"George Clemens																																		Lynn Kong																																		Zhihua Jiang","Pro																												Con																												Con","2-1																															CON"
JR Masterman AC,Altamont SG,"Zach Dyar																																		Elliot Beamer																																		Charlotte Myers","Con																												Con																												Con","3-0																															CON"
