Pro,Con,Judges,Votes,Win
Southlake Carroll RY,Delbarton CE,"Bryce Piotrowski																																		Jack Johnson																																		Ava Olson","Con																												Con																												Con","3-0																															CON"
Blake OR,Seven Lakes ML,"Katheryne Dwyer																																		Timothy Huth																																		Arjun Maheshwari","Con																												Pro																												Con","2-1																															CON"
