Pro,Con,Judges,Votes,Win
Lakeville North TS,Westwood PS,"Malcolm Davis																																						Ara Mehran																																						Michael DePasquale","Con																															Con																															Con","3-0																															CON"
William Fremd BI,Lincoln-Sudbury CR,"Ashok Rajagopalan																																						Eric Howe																																						Finn Andersen","Con																															Pro																															Con","2-1																															CON"
Strake Jesuit  NW,Pittsburgh Central Catholic GA,"Gabe Rusk																																						Tuyen Le																																						Noah Schafer","Con																															Con																															Pro","2-1																															CON"
Leland MR,Fairmont Prep KT,"Katheryne Dwyer																																						Alex Liu																																						Elijah Carns","Pro																															Con																															Pro","2-1																															PRO"
Fairmont Prep PP,Strake Jesuit  HL,"Gavin Serr																																						Benjamin Redler																																						Robert Holmes","Con																															Con																															Con","3-0																															CON"
Southlake Carroll DT,Nueva GA,"Jason Zhao																																						Stavan Shah																																						Luke Anderson","Con																															Con																															Con","3-0																															CON"
College Prep HS,Plano West BC,"Aumrita Savdharia																																						Anna Lavernia																																						Patrick Fox","Pro																															Pro																															Pro","3-0																															PRO"
Harker LL,Fairmont Prep PJ,"Les Phillips																																						Charlie Walker																																						Sameet Das","Pro																															Pro																															Pro","3-0																															PRO"
Fairmont Prep LS,Richard Montgomery WY,"Sripad Yadagiri																																						Pranav Ravulapati																																						Gabriel Llerena","Pro																															Pro																															Con","2-1																															PRO"
Plano West ZZ,Nueva YD,"Troy Stone																																						Abby McDonald																																						Jeffrey Stein","Pro																															Con																															Pro","2-1																															PRO"
College Prep FK,BASIS Phoenix GP,"Sterling Xie																																						Bilal Butt																																						Gabrielle Smith","Con																															Pro																															Con","2-1																															CON"
Fairmont Prep NP,Seven Lakes CL,"Ishan Dubey																																						Fiona Hu																																						Cameron Ingram","Pro																															Con																															Con","2-1																															CON"
Nueva IR,Nueva ES,,Nueva ES advances,Nueva ES advances
