Aff,Neg,Judge,Result,"Aff								Points","Neg								Points"
CR North GY,Lake Highland Prep AV,Saied Beckford,Neg,28,29
Lexington AK,King CP,Grant Brown,Aff,29,29
Murphy Independent AW,Lake Highland Prep PS,T.J. Maher,Aff,29,29
Isidore Newman EE,Durham JH,Alex Rivera,Aff,29,28
Apple Valley KW,King AT,Jacob Palmer,Aff,28,27
Buchholz LW,Durham SA,Emily Atamov,Neg,28,30
American Heritage Broward AP,Lake Highland Prep SV,Daniel Shatzkin,Aff,28,28
Lake Highland Prep AB,Durham RL,Eric He,Aff,29,29
Albuquerque AK,American Heritage Broward SS,Chasia Jeffries,Neg,28,29
Isidore Newman PJ,American Heritage Broward JA,Shweta Kondapi,Neg,28,28
Lincoln East BH,Lake Highland Prep HL,Jacob Nails,Neg,28,28
Cardinal Gibbons RS,Lexington MS,Sierra Romero,Aff,29,29
Everglades AW,CR North NS,Nethmin Liyanage,Aff,28,27
Durham ZG,Lexington AS,Donny Peters,Aff,28,28
Trinity Prep JC,Durham BG,Asha Patel,Neg,27,28
American Heritage Broward MC,Unionville AS,Becca Traber,Neg,28,28
Lexington BF,Lake Highland Prep WH,Abhilash Datti,Aff,30,28
Eden Prairie AK,American Heritage Broward EM,Josh Gavsie,Neg,29,29
Lake Highland Prep AR,,,,,
