Pro,Con,Judge,Win
Dougherty Valley WB,Nueva AH,Rajasree Rajendran,Pro
Dougherty Valley CM,Archbishop Mitty ML,Les Phillips,Con
Nueva DC,College Prep HK,Skye Spindler,Pro
Cambridge KL,Emerald AO,Mariana Rai,Pro
Harker XS,Oakwood GR,Arundhati Shewade,Con
Mountain House JP,Oakwood HR,Rajasree Rajendran,Pro
Valley Christian CY,Los Altos LW,Les Phillips,Con
Dougherty Valley SM,Archbishop Mitty DM,Mark Mabie,Pro
College Prep BS,Emerald AG,Sky Juinio,Pro
Harker CC,Dougherty Valley GP,Chetna Mahajan,Pro
Los Altos DD,Nueva GC,Neha Agarwal,Con
Nueva ES,Awty International ZZ,Ivan Shah,Con
College Prep FR,Harker ZhZh,Deepak Goyal,Pro
Harker PP,Saratoga ZC,Jenny Liu,Con
Harker ZC,Nueva CW,Michelle Greenwood,Pro
College Prep GR,Nueva DY,Sahana Nellian,Con
College Prep JL,Dougherty Valley BD,Sahana Nellian,Con
Harker LL,Alsion Montessori SS,Brandon Schletzbaum,Con
Emerald NK,Harker GS,Jenny Liu,Con
Folsom CJ,Evergreen Valley NC,Monica Chopra,Con
Foothill TL,American KP,Neha Agarwal,Con
College Prep BD,Emerald GK,Skye Spindler,Con
Nueva RI,Mountain View SG,Michelle Luo,Pro
American KJ,Harker CP,Sky Juinio,Con
Dougherty Valley JaVo,Harker ZhZe,Michelle Greenwood,Con
Nueva MS,Notre Dame San Jose YA,Monica Chopra,Pro
Monta Vista LG,American RM,Sergio Martinez,Pro
Quarry Lane YL,American TL,Mark Mabie,Pro
College Prep AT,Archbishop Mitty SK,,"Pro BYE																									Con BYE"
,Quarry Lane GS,,Con BYE
