Pro,Con,Judges,Votes,Win
Theodore Roosevelt TB,Edina SR,"isaac appel																																						Irene Madejski																																						Noor Lima Boudakian","Con																															Con																															Con","3-0																															CON"
Blake CB,Dougherty Valley PB,"Micah Brotzman																																						Manish Raichur																																						Cody Dorumsgaard","Pro																															Con																															Con","2-1																															CON"
Lakeville North LM,Delbarton XP,"Andy Stubbs																																						Deepak Goyal																																						Nupur Mehrotra","Con																															Pro																															Con","2-1																															CON"
Fairmont Prep SS,Blake BC,"Stella Sung																																						Logan Cook																																						Rohit Srinivas","Pro																															Pro																															Pro","3-0																															PRO"
Dougherty Valley UM,Blake KV,"Rong Tian																																						Maddie Cook																																						Caleb Prost","Con																															Pro																															Con","2-1																															CON"
Kinkaid ZY,Harker SL,"Gabe Rusk																																						Steven Schappaugh																																						Kate Totz","Pro																															Pro																															Pro","3-0																															PRO"
St Paul Academy and Summit CS,Delbarton CE,"Sophia Gustafson																																						Surya Misra																																						Joshua Enebo","Con																															Con																															Con","3-0																															CON"
Theodore Roosevelt GA,Dougherty Valley SD,"Zach Dyar																																						Christopher Bryant																																						Prasad Gunturi","Pro																															Con																															Con","2-1																															CON"
Ravenwood MM,Fairmont Prep MT,"Brendan Wilson																																						Ramakanth Kondagunturi																																						Scott Voss","Con																															Con																															Con","3-0																															CON"
Kinkaid LT,Westlake KP,"Shellie Rosen																																						Austin Zhao																																						Ella Williams","Con																															Con																															Con","3-0																															CON"
St Paul Academy and Summit CK,Eden Prairie GK,"Parker Klyn																																						Cyma Banatwala																																						Andrew Cerise","Con																															Con																															Con","3-0																															CON"
Dougherty Valley GD,Westlake SS,"Spencer Burris-Brown																																						Akshay Kaura																																						Lillian Albrecht","Con																															Pro																															Con","2-1																															CON"
Cranbrook WS,Lakeville North SZ,"Anne Deam																																						Srikanth Pabbathi																																						Kimberly Stiele","Pro																															Pro																															Pro","3-0																															PRO"
Blake CK,Iowa City West KE,"Lawrence Salonga																																						Arun Lal																																						Minu Basu","Pro																															Pro																															Pro","3-0																															PRO"
Dougherty Valley AJ,Canyon Crest SS,"Mollie Clark																																						Moti Begna																																						Venugopal Maddukuri","Pro																															Pro																															Con","2-1																															PRO"
Blake PT,Blake OR,,Blake OR advances,Blake OR advances
