Aff,Neg,Judges,Votes,Win
BASIS Peoria PY,Strake Jesuit  JW,"Stephen Scopa																																		Armaan Christ																																		ALexander Yoakum","Neg																												Neg																												Neg","3-0																															NEG"
Strake Jesuit  KS,McNeil AG,"Sebastian Cho																																		dylan jones																																		Joshua Smith","Aff																												Aff																												Aff","3-0																															AFF"
Lake Highland Prep PS,Lynbrook SY,"Dominic Henderson																																		Nethmin Liyanage																																		Michael Kurian","Aff																												Aff																												Aff","3-0																															AFF"
Strake Jesuit  JS,Memorial BD,"Becca Traber																																		Angela Zhong																																		Tajaih Robinson","Aff																												Aff																												Aff","3-0																															AFF"
