Aff,Neg,Judges,Votes,Result
Garland LY,Lexington BF,"Chris Castillo																																		Connor Self																																		allison aldridge","Aff																												Aff																												Aff","3-0																															AFF"
Strake Jesuit  ZD,Dulles TY,"Jack Quisenberry																																		T.J. Maher																																		Devin Hernandez","Aff																												Aff																												Aff","3-0																															AFF"
