Aff,Neg,Judge,Result,"Aff								Points","Neg								Points"
Bridgewater Raritan VS,Princeton CB,Carlos Astacio,Neg,28,29
Livingston RB,Montville NP,Lucas Bailey,Aff,30,29
Bridgewater Raritan NS,CR North NS,Saied Beckford,Neg,28,28
Bronx Science SP,Newark Science LF,James Grey,Aff,28,28
Montville RP,Bridgewater Raritan AP,Shikha Jain,Aff,29,28
Montville SH,Midtown PH,Jesse Laitman,Neg,29,30
Montville AM,Bridgewater Raritan DP,Jesse Lerman,Aff,29,29
Bridgewater Raritan AD,CR North SR,Keith Lo,Aff,29,29
Hunter AH,CR North KL,Roopali Paranjpe,Aff,27,27
Montville AA,CR North MK,Dhaval Patel,Aff,29,29
Midtown AS,Princeton ML,Jayesh Patel,Neg,28,28
Edgemont Junior-Senior AJ,CR North MM,Balamurugan Saravanan,Neg,30,30
Foothill PJ,Hunter AI,Tom Speaker,Neg,29,29
Montville TV,Randolph JP,Ganapathi Subramanian,Neg,28,28
Bridgewater Raritan JT,Byram Hills EW,Gopalakrishnan Thirukallam,Neg,29,29
Bronx Science CC,Millburn MM,Iyana Trotman,Aff,29,29
Scarsdale DW,Montville KC,Maximilian Dittgen,Neg,27,28
Lexington MS,Montville HB,Samantha Zubler,Neg,28,29
,Newark Science SO,,Neg BYE,Neg BYE,
