Aff,Neg,Judge,Result,"Aff								Points","Neg								Points"
Amplus MB,Harvard-Westlake HM,Nikki Aqui,Neg,25,27
Interlake KK,Immaculate Heart ES,Jonathan Hsu,Aff,28,28
Harvard-Westlake NL,Bishop's SR,Carlos Astacio,Aff,28,28
Stanford OHS AY,Harvard-Westlake WL,Diana Alvarez,Aff,29,28
Immaculate Heart AW,Harvard-Westlake KD,Joseph Barquin,Neg,29,29
Lexington CH,Yerba Buena KN,Silma Bathily,Aff,29,29
Solebury LN,Canyon Crest SZ,KD Bond,Neg,28,29
Presentation NR,Brophy SA,X Braithwaite,Aff,29,29
Harvard-Westlake MT,Salado HF,David Dosch,Neg,28,29
Solebury LM,Brentwood MD,Leah Clark-Villanueva,Neg,28,29
Harvard-Westlake IC,Sage MP,Ben Cortez,Neg,29,29
Harvard-Westlake ML,Marlborough JK,Jared Croitoru,Aff,29,28
Marlborough WR,Immaculate Heart MF,Luca Galardi,Aff,29,29
Lexington AK,Marlborough ML,Taisei Summerhays,Aff,27,28
Harvard-Westlake AT,Canyon Crest MN,Donald Fagan,Aff,28,28
Ardsley KK,Westwood PM,Gabriela Gonzalez,Neg,28,28
Stockdale RP,Immaculate Heart OV,Santalucia Hernandez,Aff,28,27
Ayala AM,Peninsula RM,Lena Mizrahi,Aff,29,29
Loveless Academic Magnet Program RR,Northern Valley HS Independent JS,Dianna Jeffcoat,Aff,29,28
Coppell RM,OES CM,,"Aff BYE																									Neg FFT","Aff BYE																									Neg FFT",
Westwood VLo,Lexington FM,Gordon Krauss,Aff,28,28
Immaculate Heart RR,Martin Luther King JO,Sam Larson,Aff,29,28
West Des Moines Valley SJ,Catonsville AT,Truman Le,Neg,28,29
Millard North NL,Immaculate Heart JL,Joel Lemuel,Aff,29,29
West Des Moines Valley MM,San Mateo YR,Connor Lindquist,Neg,29,29
Southlake Carroll PK,Westwood AG,Nethmin Liyanage,Aff,30,29
Canyon Crest ED,Westlake MR,T.J. Maher,Neg,29,29
Westwood EV,Harvard-Westlake JH,John Sims,Neg,29,29
Canyon Crest AK,Westwood DLi,Alex Baez,Neg,28,29
Marlborough SL,Interlake DB,Delanie Ness,Neg,28,29
Proof DR,Westwood AP,Amy Nyberg,Aff,30,30
Edgemont Junior-Senior AA,Harvard-Westlake AD,Passa Pungchai,Aff,30,28
Immaculate Heart SP,Diamond Bar NC,Claudia Ribera,Neg,29,29
Marlborough MJ,Homestead DA,Rafael Sanchez,Aff,28,28
Westwood AK,Lynbrook SY,Heaven Montague,Neg,29,30
Immaculate Heart BC,San Mateo ZS,Jacob Smith,Aff,29,28
Ardsley LL,West HS SLC ML,Jada Stinnett,Aff,29,29
Immaculate Heart EL,Homestead SL,Davina Le,Neg,27,29
Millard North JS,Orange Lutheran AZ,Asher Towner,Neg,28,29
Peninsula AB,,,,,
