Aff,Neg,Judge,Result,"Aff								Points","Neg								Points"
Harvard-Westlake JH,Coppell RM,Diana Alvarez,Aff,30,28
Lexington FM,Marlborough WR,Ben Cortez,Neg,27,29
Harvard-Westlake WL,Millard North JS,Carlos Astacio,Aff,28,28
Orange Lutheran AZ,Ardsley KK,Alex Baez,Aff,29,28
San Mateo ZS,Ardsley LL,Joseph Barquin,Neg,28,28
Homestead SL,Stanford OHS AY,Silma Bathily,Aff,29,28
Harvard-Westlake HM,Interlake KK,KD Bond,Neg,28,29
Lynbrook SY,Loveless Academic Magnet Program RR,X Braithwaite,Neg,29,29
Catonsville AT,Harvard-Westlake ML,Amber Brooks,Aff,29,27
Diamond Bar NC,Canyon Crest AK,Albert Cardenas,Aff,29,28
Immaculate Heart OV,Amplus MB,Leah Clark-Villanueva,Neg,28,29
Harvard-Westlake AD,Stockdale RP,Eliza Haas,Neg,28,29
Martin Luther King JO,Harvard-Westlake AT,Jared Croitoru,Aff,30,28
Brentwood MD,Marlborough SL,Jonathan Hsu,Neg,29,29
Westlake MR,Westwood AK,Kabir Dubey,Aff,28,28
Canyon Crest SZ,Immaculate Heart EL,Donald Fagan,Aff,29,28
Bishop's SR,Solebury LM,Lisa Kahler,Neg,28,29
OES CM,Westwood VLo,,"Aff FFT																									Neg BYE","Aff FFT																									Neg BYE",
Homestead DA,Immaculate Heart BC,Santalucia Hernandez,Neg,28,28
Marlborough JK,West Des Moines Valley SJ,Aryan Jasani,Neg,28,30
Westwood PM,Marlborough MJ,Gordon Krauss,Aff,29,29
Sage MP,Immaculate Heart SP,Sam Larson,Aff,30,28
Canyon Crest MN,Southlake Carroll PK,Truman Le,Neg,28,29
Immaculate Heart MF,Edgemont Junior-Senior AA,Joel Lemuel,Neg,28,29
Yerba Buena KN,Immaculate Heart RR,Connor Lindquist,Aff,29,29
Westwood DLi,Harvard-Westlake IC,Nethmin Liyanage,Neg,28,29
San Mateo YR,Millard North NL,Lena Mizrahi,Aff,29,29
Westwood AG,Canyon Crest ED,Nathan Frenkel,Neg,29,29
Marlborough ML,Harvard-Westlake MT,Delanie Ness,Neg,29,29
Immaculate Heart ES,Westwood EV,Devin Hernandez,Neg,28,29
Northern Valley HS Independent JS,Harvard-Westlake NL,Passa Pungchai,Aff,29,29
Salado HF,Proof DR,Claudia Ribera,Neg,29,29
Peninsula RM,Immaculate Heart AW,Rafael Sanchez,Aff,30,28
Harvard-Westlake KD,West Des Moines Valley MM,John Sims,Neg,29,29
Immaculate Heart JL,Presentation NR,Jacob Smith,Aff,29,29
Westwood AP,Ayala AM,Jada Stinnett,Neg,29,29
Brophy SA,Lexington CH,Conal Thomas-McGinnis,Neg,29,30
West HS SLC ML,Solebury LN,Asher Towner,Aff,29,29
Interlake DB,Lexington AK,Jalyn Wu,Neg,29,29
