Aff,Neg,Judges,Votes,Result
Strake Jesuit  NW,Lexington VM,"Raunak Dua																																		Tajaih Robinson																																		Nigel Taylor-Ward","Aff																												Neg																												Neg","2-1																															NEG"
Strake Jesuit  JW,Lexington BF,"Tej Gedela																																		Keshav Dandu																																		Kristen Arnold","Neg																												Neg																												Neg","3-0																															NEG"
Strake Jesuit  VM,Lexington AT,"Amadea Datel																																		Rohith Sudhakar																																		Meera Sehgal","Neg																												Neg																												Aff","2-1																															NEG"
Strake Jesuit  KS,Lake Highland Prep ArVe,"Jeong-Wan Choi																																		Rohit Lakshman																																		Arjan Kang","Aff																												Aff																												Aff","3-0																															AFF"
