Aff,Neg,Judges,Votes,Result
Strake Jesuit  KS,Lexington VM,"Tajaih Robinson																																		Arjan Kang																																		Kristen Arnold","Aff																												Aff																												Aff","3-0																															AFF"
Lexington BF,Lexington AT,,Lexington BF advances,Lexington BF advances
