Pro,Con,Judges,Votes,Win
Dreyfoos Arts MF,Gulliver Prep IF,"Sebastian Glos																																						El Contreras																																						Javier Hidalgo-Gato","Pro																															Pro																															Con","2-1																															PRO"
Newsome PG,New Horizons D.N CG,"Wesley Kuskin																																						Priya Khatri																																						Sheetal Mehta","Con																															Pro																															Pro","2-1																															PRO"
Nathan Shi,Pine View PB,"Julian Dotson																																						Sebastian Nathanson																																						Sophia Guarnieri","Pro																															Pro																															Pro","3-0																															PRO"
Awty International ZZ,Potomac SM,"Olivia Daniel																																						Ryan livingstone																																						Turner Loesel","Con																															Pro																															Pro","2-1																															PRO"
Southlake Carroll KB,American Heritage Palm Beach DR,"Jennifer Hitt																																						Jules Gibson																																						Ajay Kumar","Con																															Con																															Pro","2-1																															CON"
Pine View ZF,Lake Highland Prep SM,"Bilal Butt																																						Sarah Botsch-McGuinn																																						Mateo Aristizabal","Con																															Con																															Con","3-0																															CON"
Brentwood MC,Lake Highland Prep KK,"Jyoti Yeli																																						Spencer Orlowski																																						Hui Zhang","Pro																															Pro																															Pro","3-0																															PRO"
New Horizons D.N RS,Scarsdale ZL,"Rafeh Khan																																						Arianna White																																						Sudhir Rao","Con																															Con																															Con","3-0																															CON"
Christopher Columbus AS,Chapin WI,"Kelly Schwab																																						Jack Merkel																																						Tyler Katz","Con																															Con																															Con","3-0																															CON"
Pine View MG,Southlake Carroll GW,"Ishan Dubey																																						Sharan Sawlani																																						Sabrina Huang","Con																															Con																															Con","3-0																															CON"
Durham VC,,,,
Flower Mound KK,,,,
Strake Jesuit  ML,,,,
Scarsdale LL,,,,
Strake Jesuit  GZ,,,,
Southlake Carroll RY,,,,
Trinity Prep CD,,,,
Revere SM,,,,
North Broward Prep SA,,,,
NSU GL,,,,
West Broward PF,,,,
Durham BH,,,,
Lake Highland Prep YA,,,,
Southlake Carroll SB,,,,
Chapin MS,,,,
Bronx Science KR,,,,
Seven Lakes ML,,,,
Strake Jesuit  SZ,,,,
Strake Jesuit  CP,,,,
Edina SR,,,,
American Heritage Broward KW,,,,
Durham HH,,,,
