Pro,Con,Judges,Votes,Win
Durham HH,North Broward Prep SA,"Spencer Orlowski																																						Jack Merkel																																						Mateo Aristizabal","Pro																															Pro																															Pro","3-0																															PRO"
Trinity Prep CD,Edina SR,"Olivia Daniel																																						Turner Loesel																																						Sebastian Nathanson","Pro																															Con																															Con","2-1																															CON"
Strake Jesuit  ML,Southlake Carroll RY,"Sean Behling																																						Sophia Guarnieri																																						Sully Mrkva","Con																															Con																															Con","3-0																															CON"
Southlake Carroll SB,Strake Jesuit  GZ,"Jason Paul																																						Grisel Reyes																																						Ryan livingstone","Con																															Con																															Con","3-0																															CON"
