Aff,Neg,Judge,Win,"Aff								Points","Neg								Points"
Theodore Roosevelt AB,Westwood AU,Taylor Tate,Neg,28.0,29.9
Plano West SG,Strake Jesuit  SA,Jessica Dickey,Neg,29.0,29.1
San Angelo Central RL,Strake Jesuit  NF,Johnathen Standifer,Neg,28.5,30.0
Hebron AP,Northland Christian LM,Colton Gilbert,Neg,28.2,29.1
L C Anderson PM,Strake Jesuit  EX,Austin Broussard,Neg,29.9,30.0
Jordan AT,Strake Jesuit  MZ,Max Gu,Neg,29.0,29.3
Elkins DL,Cypress Bay SS,Curtis Ortega,Neg,28.4,28.5
Strake Jesuit  DV,McNeil KJ,Antonio Arguelles,Neg,28.1,28.7
McNeil KS,Westlake MH,Ryan Love,Neg,28.6,28.7
Strake Jesuit  IS,Isidore Newman BD,Emma Nguyen,Aff,28.9,28.8
Westwood DR,San Angelo Central MB,Elizabeth Glasper,Aff,28.0,27.0
Strake Jesuit  MMa,Nyos Charter ZS,Anderson Hendrix,Aff,29.1,27.1
Westwood TC,Strake Jesuit  SV,Anderson Hendrix,Neg,28.2,29.2
Greenhill VT,Little Rock Central HK,Kumail Zaidi,Aff,29.3,29.1
Strake Jesuit  JW,Colleyville Heritage GM,Ian Dill,Neg,28.8,29.2
Memorial ES,Plano West AR,Jasmine Stidham,Neg,28.6,29.5
Boerne Champion AG,Isidore Newman RH,Kumail Zaidi,Neg,29.0,29.6
Elkins SS,Round Rock JT,Austin Broussard,Aff,28.5,27.6
Isidore Newman MM,DSST Cedar AN,Benjamin Wolf,Aff,29.6,27.7
Jasper CW,Tom Glenn MM,Emma Nguyen,Aff,28.8,28.7
Memorial AW,Chapel Hill HS - Mt. Pleasant AB,Arshi Maniar,Aff,29.5,26.5
Coppell KT,Southlake Carroll IM,Chris Castillo,Aff,29.5,29.2
Isidore Newman MB,Strake Jesuit  LC,Johnathen Standifer,Neg,29.0,29.5
Energy Institute CL,Veterans Memorial NP,Jessica Dickey,Aff,28.6,29.0
Westlake JL,Plano West SK,Jasmine Stidham,Neg,28.6,29.0
Village IR,Plano West ZM,DH Henderson,Neg,28.9,29.2
St Francis WW,Bridgeland AS,Ryan Graham,Aff,28.8,28.6
St Mary's Hall VB,Claudia Taylor Johnson SD,Akshath Prasad,Neg,29.5,29.0
Coppell SY,St Thomas CO,Nigel Taylor-Ward,Neg,28.8,29.3
Lake Travis AS,Westwood DV,Colton Gilbert,Neg,28.9,29.1
Coppell ZM,Bronx Science GG,Harmony Moura Burk,Neg,29.0,30.0
Southlake Carroll SK,Greenhill MS,Garrett Bishop,Aff,29.5,28.5
McNeil NV,Coppell MM,Kush Vijapure,Aff,29.5,28.9
Southlake Carroll AB,McNeil ES,Rowan MacLean,Aff,30.0,29.9
Clear Lake SC,Chapel Hill HS - Mt. Pleasant CB,Ryan Love,Neg,28.0,28.1
Claudia Taylor Johnson MP,Colleyville Heritage CB,Arshi Maniar,Neg,27.0,28.8
Boerne Champion MG,Westwood MS,Max Gu,Aff,28.3,28.1
Coppell JH,Memorial EW,Elizabeth Elliott,Neg,28.5,28.6
Bronx Science SS,Strake Jesuit  TN,Jack Quisenberry,Aff,28.6,28.4
Greenhill PR,Kinkaid CM,Devon Stevenson,Aff,29.5,29.0
Cypress Ranch SS,Strake Jesuit  SW,Ryan Graham,Neg,28.7,28.6
Westwood SM,Strake Jesuit  CC,Rowan MacLean,Neg,29.0,30.0
Louis D. Brandeis SR,Westlake SB,Avery Wilson,Aff,28.7,28.6
Acton-Boxborough NK,Greenhill EX,Jack Quisenberry,Neg,29.0,29.1
Awty International DR,Plano West NS,Patrick Fox,Aff,29.1,29.0
Dripping Springs AA,Dulles CZ,Harmony Moura Burk,Neg,30.0,29.9
Clear Lake CW,Memorial BL,Nigel Taylor-Ward,Neg,29.0,29.8
Greenhill AK,Louis D. Brandeis TA,Curtis Ortega,Aff,29.2,28.5
Little Rock Central GT,Cypress Ranch ND,Pranav Sreenivas,Neg,28.8,28.2
Theodore Roosevelt EB,Plano West RC,DH Henderson,Neg,28.6,29.3
Dripping Springs AG,PSJA Thomas Jefferson T-STEM Early MM,Elijah Cruz,Aff,29.2,29.1
Greenhill AN,McNeil AS,Jamie Hao,Neg,28.3,29.7
Westlake JJ,McCallum MF,Grayson Qian,Aff,28.9,28.3
Clear Lake RZ,Greenhill MA,Chris Castillo,Neg,29.0,29.1
Strake Jesuit  AY,Bridgeland SK,Akshath Prasad,Aff,29.0,28.5
Isidore Newman WC,Tom Glenn JM,Demarcus Powell,Aff,28.5,28.1
Westwood AT,Strake Jesuit  KM,Fahim Jahingir,Neg,29.6,30.0
Cabot KB,McNeil JL,Kush Vijapure,Neg,29.0,29.1
Hebron SM,Dripping Springs AK,Grayson Qian,Neg,27.2,27.7
Greenhill OG,McNeil AP,Garrett Bishop,Aff,29.4,29.0
All Saints Episcopal ID,Strake Jesuit  BB,Fahim Jahingir,Neg,28.6,29.1
Cypress Woods AG,Westmoore DD,El Contreras,Aff,28.4,28.0
Dulles RC,Awty International AZ,Elizabeth Elliott,Neg,28.7,29.0
BASIS Silicon Valley VP,Winston Churchill TC,Elijah Cruz,Aff,29.2,28.9
Westlake PS,Memorial EJ,Avery Wilson,Neg,28.7,29.2
McNeil PP,Greenhill DM,Jamie Hao,Neg,28.8,30.0
Strake Jesuit  KS,Greenhill TH,Devon Stevenson,Neg,29.5,29.8
Lake Travis KF,Stephen F Austin CH,Pranav Sreenivas,Aff,29.2,27.0
