Aff,Neg,Judge,Result,"Aff								Points","Neg								Points"
Advanced Technologies AH,Presentation AB,Anish Ramireddy,Neg,29,28
Harker KB,Tempe Prep CC,Gordon Krauss,Aff,29,29
BASIS Peoria KC,Harker RT,,"Aff BYE																									Neg FFT","Aff BYE																									Neg FFT",
Mountain Ridge MI,Peninsula IY,Jonah Gentleman,Aff,29,28
Peninsula WW,Brophy TJ,Gerard Grigsby,Neg,27,28
Peninsula EL,Hamilton MR,Bennett Fees,Aff,29,29
BASIS Phoenix SC,Peninsula MG,Nick Fleming,Aff,28,28
Peninsula KD,Meadows ZN,Phillip Irving,Neg,29,30
West HS SLC HZ,Southlake Carroll PK,Fei Peng,Neg,30,30
Peninsula AJ,Hamilton SM,Jyleesa Hampton,Neg,29,29
Durango TF,Peninsula AY,Gerard Grigsby,Neg,27,28
Desert Vista AD,Peninsula AD,Samantha McLoughlin,Aff,28,28
Peninsula JX,Hamilton GB,Bennett Fees,Neg,28,28
Hamilton NB,Peninsula AL,Phillip Irving,Neg,30,28
Hamilton AL,West HS SLC TC,Molly Miller,Aff,29,28
Bellarmine  AK,Mountain View ED,Moon Sung Gwak,Aff,30,29
Ayala AM,Advanced Technologies JM,Sriman Chavakula,Aff,29,28
BASIS Peoria PY,Park City NL,Nick Fleming,Aff,29,29
Peninsula AB,Meadows BB,Aidin O'Brien,Aff,28,28
Peninsula KN,Brophy CC,Molly Miller,Neg,28,29
