Aff,Neg,Judge,Result,"Aff								Points","Neg								Points"
McClintock MA,BASIS Peoria KC,,"Aff FFT																									Neg BYE","Aff FFT																									Neg BYE",
Hamilton NB,Andrew AT,,"Aff BYE																									Neg FFT","Aff BYE																									Neg FFT",
Desert Vista AD,West HS SLC TC,James Chen,Aff,29,28
Peninsula IY,Mountain View ED,Nick Fleming,Neg,28,28
Peninsula AY,Tempe Prep CC,Jonah Gentleman,Neg,29,29
BASIS Phoenix SC,Peninsula AD,,"Aff BYE																									Neg FFT","Aff BYE																									Neg FFT",
Peninsula AJ,Durango TF,Phillip Irving,Aff,28,28
BASIS Peoria PY,Peninsula EL,Samantha McLoughlin,Aff,29,28
Mountain Ridge MI,Portola BK,,"Aff BYE																									Neg FFT","Aff BYE																									Neg FFT",
Hamilton SM,Park City NL,Moon Sung Gwak,Neg,28,30
Advanced Technologies JM,Peninsula CU,,"Aff BYE																									Neg FFT","Aff BYE																									Neg FFT",
Hamilton GB,West HS SLC HZ,Gordon Krauss,Neg,28,29
Harker PU,Brophy CC,Scott Wheeler,Neg,28,28
Meadows DL,Andrew AA,,"Aff FFT																									Neg BYE","Aff FFT																									Neg BYE",
Peninsula KN,Southlake Carroll PK,Nick Fleming,Neg,28,29
Ayala AM,Peninsula WW,Jonah Gentleman,Aff,30,29
Peninsula AB,Bellarmine  AK,Gerard Grigsby,Neg,28,28
Peninsula JX,Presentation AB,Phillip Irving,Neg,28,29
Meadows ZN,Peninsula MG,Samantha McLoughlin,Aff,28,28
Hamilton MR,Meadows BB,Deepa Rajagopalan,Aff,28,27
Hamilton AL,Harker KB,Anish Ramireddy,Neg,29,29
Advanced Technologies AH,Peninsula AL,Nebiyu Samuel,Neg,28,28
Brophy TJ,Harker RT,Scott Wheeler,Neg,29,29
Peninsula KD,,,Aff FFT,Aff FFT,
