Aff,Neg,Judge,Win,"Aff								Points","Neg								Points"
Vestavia Hills AS,Lincoln East PZ,Richard Nguyen,Neg,28.7,28.0
Youth Development Resource Center JW,Norfolk HB,Madison Ade,Aff,27.5,25.7
Strake Jesuit  LC,Millard North GS,Pratham Soni,Aff,29.0,28.0
Millard West SG,Lincoln Southwest BA,Mallory Henninger,Aff,27.5,27.0
Break LH,West Des Moines Valley JC,Tony Welter,Aff,29.2,27.3
Lincoln Southwest JW,Lincoln East JG,Aadi Patil,Neg,28.5,28.9
Millard West MS,Winchendon RL,Neville Tom,Neg,28.8,29.2
Millard North PA,Strake Jesuit  NH,Jesse Nguyen,Neg,27.0,28.5
Lincoln Southwest MB,Iowa City West FH,Robert Ou,Neg,28.8,28.6
Wayzata NS,Hastings KM,Karen Byron,Neg,28.7,28.9
Hill JG,Hunter RT,Arjun Lingala,Aff,29.4,29.3
Lovejoy TK,Iowa City West JL,Conal Thomas-McGinnis,Aff,29.0,28.7
Westwood AU,West Des Moines Valley DN,Gage Larson,Aff,30.0,29.0
Waring MB,Millard North SD,Bryce Sheffield,Aff,29.3,28.5
West Des Moines Valley JN,Coppell KT,Joel Henson,Aff,29.6,29.0
Lincoln Southwest KR,Strake Jesuit  FB,Mitchell Akinjayeju,Neg,28.0,29.0
Lincoln Southwest WW,West Des Moines Valley CS,Elena Belashchenko,Neg,27.3,27.8
Redlands EZ,Lincoln Southwest RM,Hanh Do,Aff,27.0,26.0
Hastings MW,Millard North KB,Maggie Woodward,Neg,29.5,29.7
Clear Lake MK,Horace Greeley AM,Grant McKeever,Aff,29.1,28.9
Flintridge Prep IL,SF Lincoln OR,Britton Teply,Aff,28.7,28.5
Lincoln East JS,Millard West AD,Spencer Thomas,Aff,26.8,27.0
Lincoln East TH,West Des Moines Valley VD,Michael Whalen,Neg,26.0,28.0
Lincoln Northwest WA,Lincoln East KP,Chaitra Pirisingula,Neg,27.5,28.8
Colleyville Heritage GM,Amador Valley LA,Sripad Yadagiri,Neg,29.1,29.3
