Pro,Con,Judge,Win
Lincoln East GA,Lincoln Southwest WR,Elise Groher,Pro
Lincoln East NB,Harrisburg MB,Abhi Karri,Pro
Harrisburg BM,Millard North SP,Brooke Meints,Pro
Treynor SO,Lincoln Southwest QW,Kyle Maher,Con
Millard North TZ,Lincoln Southeast FM,Al Deak,Pro
SF Roosevelt AS,Treynor CW,Skylar Stefanski,Con
Lincoln Southwest LW,SF Lincoln WW,Olivia Walker,Pro
Lincoln East JS,Harrisburg HC,Loc Nguyen,Pro
Millard North KM,Hastings SM,Patrick Pope,Pro
Marian OK,SF Lincoln WH,Serena Schadl,Con
SF Lincoln RS,Millard West GP,Angela Kwambamba,Pro
