Pro,Con,Judges,Votes,Win
Lincoln East GA,Harrisburg BM,"Miranda Cannon																																						Kobe Cooper																																						Abhi Karri","Con																															Pro																															Pro","2-1																															PRO"
Lincoln East NB,Lincoln Southwest QW,"Patrick Pope																																						Kathryn Pope																																						Adiel García","Con																															Con																															Pro","2-1																															CON"
Lincoln Southeast FM,Lincoln East JS,"Angela Kwambamba																																						Serena Schadl																																						Loc Nguyen","Pro																															Con																															Con","2-1																															CON"
Lincoln Southwest LW,Millard North TZ,"Brooke Meints																																						Skylar Stefanski																																						Olivia Walker","Con																															Con																															Con","3-0																															CON"
