Pro,Con,Judges,Votes,Win
Emerald KN,Iowa City West GA,"Tuyen Le																																						Tyler Crivella																																						Fiona Hu","Con																															Pro																															Con","2-1																															CON"
Theodore Roosevelt AB,Lexington ML,"Ishan Dubey																																						Chase Williams																																						Sully Mrkva","Pro																															Pro																															Pro","3-0																															PRO"
BASIS Independent McLean BR,,,,
Lakeville North LM,,,,
Iowa City West EA,,,,
St Luke's MW,,,,
Strake Jesuit  MS,,,,
Blake BC,,,,
Emerald KG,,,,
Potomac ML,,,,
Potomac SS,,,,
Seven Lakes KS,,,,
Canyon Crest WS,,,,
Awty International ZZ,,,,
Cranbrook LY,,,,
Canyon Crest FS,,,,
Pittsburgh Central Catholic GA,,,,
Emerald AG,,,,
Seven Lakes AR,,,,
Theodore Roosevelt MM,,,,
Flower Mound IM,,,,
Blake ST,,,,
Seven Lakes EM,,,,
East Ridge JS,,,,
Strake Jesuit  GZ,,,,
Cranbrook FQ,,,,
Langley CG,,,,
Seven Lakes CM,,,,
Blake OR,,,,
Seven Lakes LL,,,,
East Ridge VM,,,,
Blake BL,,,,
