Pro,Con,Judges,Votes,Win
BASIS Independent McLean BR,Theodore Roosevelt AB,"Jack Ave																																						Hari Gokul																																						Joshua Enebo","Pro																															Con																															Con","2-1																															CON"
Iowa City West GA,Awty International ZZ,"Christopher Bryant																																						Ben Walter																																						Mary Beth Armstrong","Pro																															Con																															Con","2-1																															CON"
Cranbrook FQ,Strake Jesuit  GZ,"Tuyen Le																																						Sully Mrkva																																						Eva Motolinia","Con																															Con																															Con","3-0																															CON"
East Ridge JS,Langley CG,"Tuyen Le																																						Stella Sung																																						Chase Williams","Con																															Con																															Con","3-0																															CON"
Seven Lakes LL,Flower Mound IM,"Ishan Dubey																																						Austin Siefken																																						Jordana Bales","Pro																															Pro																															Con","2-1																															PRO"
East Ridge VM,Theodore Roosevelt MM,"Bryce Piotrowski																																						Ben Walter																																						Veer Prakash","Pro																															Pro																															Con","2-1																															PRO"
Blake BL,Seven Lakes AR,"Calvin Goldsberry																																						Stella Sung																																						Sophia Gustafson","Pro																															Pro																															Pro","3-0																															PRO"
Emerald AG,Lakeville North LM,"Calvin Goldsberry																																						Sahej Virdi																																						Noah Mengisteab","Con																															Pro																															Con","2-1																															CON"
Pittsburgh Central Catholic GA,Iowa City West EA,"Pav Reddy																																						Eva Motolinia																																						Henry Nomeland","Con																															Con																															Pro","2-1																															CON"
Canyon Crest FS,St Luke's MW,"Jordana Bales																																						Sully Mrkva																																						Joshua Enebo","Con																															Pro																															Pro","2-1																															PRO"
Cranbrook LY,Strake Jesuit  MS,"Bryce Piotrowski																																						Chase Williams																																						Henry Nomeland","Con																															Pro																															Con","2-1																															CON"
Canyon Crest WS,Blake BC,"Ishan Dubey																																						Jack Ave																																						Hari Gokul","Con																															Pro																															Con","2-1																															CON"
Emerald KG,Seven Lakes KS,"Ria Vasishtha																																						Sahej Virdi																																						Noah Mengisteab","Pro																															Pro																															Con","2-1																															PRO"
Seven Lakes CM,Seven Lakes EM,,Seven Lakes CM advances,Seven Lakes CM advances
Blake OR,Blake ST,,Blake OR advances,Blake OR advances
Potomac ML,Potomac SS,,Potomac ML advances,Potomac ML advances
