Aff,Neg,Judge,Result
Sequoia AS,Harrison AA,Varad Agarwala,Neg
Bellarmine  AK,Cabot AC,Andrew Halverson,Aff
Harvard-Westlake CC,McNeil AR,David Asafu-Adjaye,Aff
Harker ASh,Strake Jesuit  JX,Aaron Barcio,Neg
Strake Jesuit  VC,Lexington BF,Austin Broussard,Neg
Immaculate Heart SS,Harker RM,Chris Castillo,Neg
Mercer Island KS,St Agnes EH,David Dosch,Neg
Strake Jesuit  JS,Peninsula RM,Alex Dumas,Aff
Memorial SC,Harker KB,Tom Evnen,Aff
Peninsula SM,Coppell VN,Rachel Mauchline,Aff
Strake Jesuit  KS,Prospect ST,William Freedman,Aff
Lexington AL,Northland Christian LB,Tej Gedela,Neg
West HS SLC OW,Marlborough WR,Arya Goel,Neg
McNeil AG,Kenston EJ,Andrew Gong,Aff
Strath Haven AM,Immaculate Heart JL,Eric He,Neg
Saratoga AG,Holy Cross ND,Chetan Hertzig,Aff
Harker AA,Westlake AK,Saianurag Karavadi,Neg
Denton Guyer SB,Coppell RM,Joseph Kieklak,Aff
Plano East AW,Westlake MR,Kartikeya Kotamraju,Aff
Harker PG,Bronx Science SA,Gordon Krauss,Aff
Plano East NG,Bergen County Academies AK,Truman Le,Aff
Peninsula BD,Strath Haven LP,Serena Lu,Aff
Immaculate Heart RR,Southlake Carroll SD,Samantha McLoughlin,Neg
Harker DS,Lexington AT,Matt Moorhead,Aff
Carnegie Vanguard SR,DTHS HV,Javier Navarrete,Aff
Sage Hill MP,Westwood AG,Rodrigo Paramo,Aff
Southlake Carroll EP,Harvard-Westlake IC,Felicity Park,Neg
Peninsula CS,Harrison JP,Jack Quisenberry,Neg
Proof DR,Harvard-Westlake OF,Tarun Ratnasabapathy,Neg
Eagan AE,Bronx Science RP,Ishan Rereddy,Aff
Westwood PM,Cabot JB,Zachary Reshovsky,Aff
Dougherty Valley NR,Little Rock Central MG,Erick Berdugo,Neg
Loyola AP,Cardinal Gibbons RS,Yardley Rosas,Aff
Loyola IB,Presentation NR,Daksh Kapoor,Neg
Marlborough ML,Garland AA,Jharick Shields,Aff
Immaculate Heart BC,Southlake Carroll PK,Nick Fleming,Aff
Westwood ST,Lexington AK,James Stuckert,Neg
Westlake AC,Marcus JR,Christopher Vincent,Neg
Strake Jesuit  ZD,Harker DV,Chris Theis,Aff
Harrison AC,Southlake Carroll AS,Adam Torson,Aff
Strake Jesuit  DL,Coppell HA,Tate Weston,Aff
Lake Highland Prep AB,Presentation AB,Zaid Umar,Aff
,Dougherty Valley AR,,Neg BYE
