Aff,Neg,Judge,Result
Northland Christian LB,Saratoga AG,Varad Agarwala,Aff
Harrison AA,Cabot AC,Clement Agho-Otoghile,Aff
Immaculate Heart JL,Denton Guyer SB,David Asafu-Adjaye,Aff
Harrison AC,Strake Jesuit  VC,Aaron Barcio,Neg
Loyola IB,Coppell HA,Ursula Gruber,Neg
Carnegie Vanguard SR,Eagan AE,Austin Broussard,Aff
Immaculate Heart BC,Lake Highland Prep AB,Chris Castillo,Aff
Cardinal Gibbons RS,Southlake Carroll AS,Amy Chakladar,Aff
Memorial SC,Marlborough ML,David Dosch,Aff
Strake Jesuit  DL,Harvard-Westlake OF,Alex Dumas,Neg
Harker PG,Prospect ST,Tom Evnen,Neg
Sequoia AS,Westwood ST,Nick Fleming,Aff
Westwood PM,Strath Haven AM,Tej Gedela,Neg
Strake Jesuit  JS,Presentation AB,Arya Goel,Aff
Harker KB,St Agnes EH,Andrew Gong,Aff
Harker DS,McNeil AG,Andrew Halverson,Aff
DTHS HV,Bronx Science SA,Jyleesa Hampton,Aff
Sage Hill MP,Southlake Carroll SD,Eric He,Aff
Lexington AT,Coppell RM,Saianurag Karavadi,Aff
Dougherty Valley AR,Coppell VN,Joseph Kieklak,Neg
Dougherty Valley NR,Plano East NG,Kartikeya Kotamraju,Neg
Lexington AL,Southlake Carroll EP,Sam Anderson,Aff
Harker AA,Westlake MR,Tarun Ratnasabapathy,Neg
Peninsula RM,Garland AA,Serena Lu,Aff
Lexington BF,Peninsula CS,Rachel Mauchline,Aff
Strath Haven LP,Immaculate Heart SS,Samantha McLoughlin,Neg
Strake Jesuit  KS,Immaculate Heart RR,Matt Moorhead,Aff
Proof DR,Marcus JR,Javier Navarrete,Neg
Loyola AP,McNeil AR,Rodrigo Paramo,Aff
Harker DV,Bronx Science RP,Jack Quisenberry,Aff
Harvard-Westlake CC,Bergen County Academies AK,Felicity Park,Neg
Strake Jesuit  JX,Marlborough WR,Ishan Rereddy,Aff
Harker RM,Westlake AC,Gordon Krauss,Aff
Harrison JP,Holy Cross ND,Adesuwa Omoruyi,Aff
Kenston EJ,Cabot JB,Yardley Rosas,Neg
Strake Jesuit  ZD,Peninsula BD,Andres Rosero,Aff
Bellarmine  AK,Lexington AK,David Yi,Neg
West HS SLC OW,Little Rock Central MG,Jharick Shields,Neg
Harker ASh,Westlake AK,Elijah Smith,Aff
Mercer Island KS,Westwood AG,James Stuckert,Neg
Plano East AW,Harvard-Westlake IC,Chris Theis,Aff
Southlake Carroll PK,Presentation NR,Adam Torson,Aff
Peninsula SM,,,
