Aff,Neg,Judge,Win
Peninsula AB,Lake Highland Prep PS,Bennett Dombcik,Neg
Walt Whitman HZ,Durham SA,Vontrez White,Neg
OCSA IL,Cary Acad RR,Elmer Yang,Neg
Harker SD,Greenhill AKu,Jacob Nails,Neg
Monta Vista KR,Harrison RP,Jasmine Stidham,Neg
Lake Highland Prep SV,Barrington AC,David Asafu-Adjaye,Neg
Lake Highland Prep WH,Harker AA,Samantha McLoughlin,Neg
Harvard-Westlake AM,L C Anderson NW,Jesse Nguyen,Neg
Southlake Carroll AS,Lakeville South EH,Shruti Narayanabhatla,Aff
Lincoln East JM,Scripps Ranch AS,Shreeram Modi,Neg
Harvard-Westlake AW,Heights EP,Scott Brown,Aff
Harker AS,Greenhill SK,Clare Bradley,Aff
Strake Jesuit  JW,Marlborough OO,Grace Kessler,Aff
Village SZ,Harker RA,Bennett Eckert,Neg
James Bowie BR,Amador Valley EM,David Dosch,Aff
Scarsdale DH,Harrison JB,Isaac Chao,Neg
L C Anderson LS,Monta Vista EY,Nick Fleming,Neg
Seven Lakes VS,Peninsula SU,Vontrez White,Neg
Coppell KT,Westridge TW,Tajaih Robinson,Aff
Lake Highland Prep HL,Bellevue WL,Jasmine Stidham,Aff
Stanford OHS AY,Harvard-Westlake WL,Grace Kessler,Neg
Los Altos AK,McDowell JJ,Nathan Fleming,Aff
Peninsula AY,Memorial DX,Arnav Kashyap,Neg
Greenhill SL,Oxford VD,Jared Burke,Neg
Lynbrook BZ,Carnegie Vanguard LH,Taylor Tsan,Aff
Marlborough WR,Isidore Newman AB,Alexandra Mork,Aff
St Agnes EH,Lynbrook OM,Nick Loew,Neg
Oak Ridge AA,Brophy TJ,Jonathan Meza,Aff
Strake Jesuit  MM,Ridge RD,Navya Simha,Aff
Harvard-Westlake KM,Cary Acad DH,Tej Gedela,Neg
Strake Jesuit  KM,Harrison BS,Isaac Chao,Neg
Marlborough PP,San Mateo YR,Allyson Spurlock,Neg
Harrison JG,Strake Jesuit  NW,Harun Vemulapalli,Aff
Greenhill AK,American Heritage Broward MC,Sira Ahuja,Aff
American Heritage Broward SS,Harker PG,Tom Evnen,Aff
Delores Taylor Arthur School for Young Men JB,Sage Oak Charter AK,David Asafu-Adjaye,Aff
Immaculate Heart AW,Westlake MR,Aerin Engelstad,Neg
Flower Mound AM,Collegiate ND,Jiyoon Park,Neg
Harker KB,Marlborough MJ,Elizabeth Elliott,Neg
Marlborough AM,Lincoln East BH,Navya Simha,Aff
Marlborough HL,Lexington MS,Blake Ziegler,Aff
Concord Carlisle FZ,Holy Trinity Episcopal RP,Saied Beckford,Aff
Notre Dame San Jose AG,Harker SS,Elizabeth Elliott,Aff
Troy AP,Horace Greeley SG,Temitope Ogundare,Neg
Heritage High WT,Garland LA,,"Aff BYE																									Neg FFT"
