Aff,Neg,Judge,Win
Harrison JG,Lake Highland Prep HL,Ana Bittner,Neg
Harrison BS,Durham SA,Tom Evnen,Aff
Harker RA,Lynbrook OM,Max Perin,Aff
Bellevue WL,Harvard-Westlake KM,Navya Simha,Aff
Stanford OHS AY,Greenhill SK,Chris Castillo,Neg
Strake Jesuit  NW,Scarsdale DH,Elliot Harvanko,Aff
Lincoln East JM,San Mateo YR,Chetan Hertzig,Neg
Lakeville South EH,Los Altos AK,Bryce Sheffield,Neg
Harrison JB,Harker AA,Tom Evnen,Aff
Collegiate ND,Southlake Carroll AS,Isaac Chao,Aff
Harker PG,Heritage High WT,Nigel Taylor-Ward,Aff
Westlake MR,Concord Carlisle FZ,Isaac Chao,Aff
Immaculate Heart AW,Oxford VD,Elmer Yang,Neg
Greenhill AKu,Seven Lakes VS,Nelson Okunlola,Neg
Marlborough HL,Harvard-Westlake WL,Jared Burke,Neg
Cary Acad DH,Brophy TJ,Chris Castillo,Aff
Marlborough WR,St Agnes EH,Jessie Satovsky,Aff
Walt Whitman HZ,Amador Valley EM,Tajaih Robinson,Neg
Scripps Ranch AS,Ridge RD,Alexandra Mork,Aff
Peninsula SU,American Heritage Broward MC,Samantha McLoughlin,Neg
McDowell JJ,Horace Greeley SG,Vontrez White,Neg
Isidore Newman AB,Lake Highland Prep WH,Vontrez White,Neg
Barrington AC,Harker KB,Bennett Eckert,Neg
Monta Vista EY,Oak Ridge AA,Jiyoon Park,Aff
Village SZ,Flower Mound AM,Navya Simha,Aff
Sage Oak Charter AK,L C Anderson LS,Het Desai,Neg
Harker SD,Marlborough MJ,Bennett Eckert,Neg
Greenhill SL,Harvard-Westlake AM,Sira Ahuja,Aff
Strake Jesuit  KM,Harvard-Westlake AW,Eva Lamberson,Aff
Lincoln East BH,Carnegie Vanguard LH,Elmer Yang,Aff
Memorial DX,Harker AS,Jasmine Stidham,Neg
Westridge TW,Lynbrook BZ,Grace Kessler,Neg
Cary Acad RR,Holy Trinity Episcopal RP,Karan Shah,Aff
OCSA IL,Peninsula AY,Grace Kessler,Neg
Coppell KT,Delores Taylor Arthur School for Young Men JB,John Holen,Aff
American Heritage Broward SS,James Bowie BR,Michael Harris,Aff
Lake Highland Prep SV,Strake Jesuit  JW,Shreeram Modi,Neg
Marlborough PP,Lake Highland Prep PS,Temitope Ogundare,Neg
Marlborough AM,Heights EP,Rodrigo Paramo,Neg
Greenhill AK,Garland LA,Jared Burke,Aff
Strake Jesuit  MM,Notre Dame San Jose AG,Gordon Krauss,Neg
Harker SS,Troy AP,Nigel Taylor-Ward,Aff
Marlborough OO,L C Anderson NW,Jiyoon Park,Neg
Lexington MS,Harrison RP,Curtis Ortega,Neg
Monta Vista KR,Peninsula AB,Chris Theis,Neg
