Aff,Neg,Judge,Win
Westlake MR,Lynbrook OM,Navya Simha,Neg
Strake Jesuit  KM,Lincoln East JM,Nelson Okunlola,Neg
Brophy TJ,Peninsula AY,Brett Cryan,Neg
Harrison JB,Greenhill SK,Blake Ziegler,Neg
Heights EP,Garland LA,Jonathan Meza,Aff
Westridge TW,Harker PG,Jasmine Stidham,Neg
Greenhill AK,Marlborough WR,Allyson Spurlock,Neg
Marlborough PP,Delores Taylor Arthur School for Young Men JB,Bennett Eckert,Aff
Monta Vista KR,Cary Acad RR,Amadea Datel,Aff
Peninsula SU,Southlake Carroll AS,Harun Vemulapalli,Aff
Harker KB,OCSA IL,Sai Karavadi,Neg
Concord Carlisle FZ,Harker AS,Curtis Ortega,Neg
Harker SS,Harvard-Westlake WL,David Dosch,Aff
Flower Mound AM,Harrison JG,Isaac Chao,Neg
Strake Jesuit  NW,Amador Valley EM,Sira Ahuja,Aff
Bellevue WL,American Heritage Broward MC,Raunak Dua,Neg
L C Anderson LS,Oxford VD,Rose Larson,Neg
Isidore Newman AB,Strake Jesuit  JW,Nelson Okunlola,Neg
Holy Trinity Episcopal RP,Greenhill AKu,Chetan Hertzig,Neg
Lake Highland Prep SV,Memorial DX,Brett Cryan,Neg
Harvard-Westlake KM,Horace Greeley SG,Jared Burke,Aff
Los Altos AK,Troy AP,Sira Ahuja,Neg
Marlborough MJ,American Heritage Broward SS,Temitope Ogundare,Aff
Collegiate ND,Stanford OHS AY,Jacob Nails,Neg
L C Anderson NW,Harrison RP,Vontrez White,Neg
Monta Vista EY,Harrison BS,Curtis Ortega,Aff
San Mateo YR,Seven Lakes VS,Sai Karavadi,Neg
Harker RA,Walt Whitman HZ,Rodrigo Paramo,Aff
Peninsula AB,Barrington AC,Vontrez White,Aff
Immaculate Heart AW,Sage Oak Charter AK,Jonathan Meza,Aff
Notre Dame San Jose AG,Greenhill SL,DH Henderson,Neg
Marlborough OO,Durham SA,Ana Bittner,Aff
Harvard-Westlake AW,Heritage High WT,Raunak Dua,Aff
Lynbrook BZ,Lake Highland Prep WH,Elmer Yang,Neg
Cary Acad DH,Harvard-Westlake AM,Elliot Harvanko,Neg
Village SZ,Lake Highland Prep PS,Michael Harris,Neg
Scripps Ranch AS,Lake Highland Prep HL,Lawson Hudson,Neg
Marlborough HL,James Bowie BR,John Holen,Neg
McDowell JJ,Lincoln East BH,Lawson Hudson,Aff
Ridge RD,St Agnes EH,Bennett Eckert,Neg
Coppell KT,Harker AA,Navya Simha,Neg
Harker SD,Lakeville South EH,Elmer Yang,Aff
Carnegie Vanguard LH,Scarsdale DH,Jacob Palmer,Neg
Strake Jesuit  MM,Lexington MS,Rose Larson,Neg
Marlborough AM,Oak Ridge AA,Temitope Ogundare,Neg
