Aff,Neg,Judge,Win
Amador Valley EM,Barrington AC,Elmer Yang,Aff
Heritage High WT,Westlake MR,Bryce Sheffield,Neg
Marlborough MJ,Harker RA,Gordon Krauss,Aff
Oxford VD,Harker SS,Chris Castillo,Aff
Southlake Carroll AS,Scripps Ranch AS,Eva Lamberson,Neg
Harvard-Westlake AW,Harker SD,Elliot Harvanko,Aff
L C Anderson NW,Harrison JG,Saied Beckford,Neg
Los Altos AK,Cary Acad DH,Elmer Yang,Aff
Peninsula AB,Marlborough WR,Greg Achten,Aff
American Heritage Broward MC,Harker PG,Harun Vemulapalli,Neg
Ridge RD,Westridge TW,Curtis Ortega,Aff
Lake Highland Prep PS,Strake Jesuit  KM,Samantha McLoughlin,Aff
Greenhill SK,Peninsula SU,Bennett Dombcik,Aff
Harker AS,Strake Jesuit  NW,Briajia Levi,Aff
L C Anderson LS,Coppell KT,Sira Ahuja,Aff
Scarsdale DH,Immaculate Heart AW,David Asafu-Adjaye,Aff
Harvard-Westlake WL,Lake Highland Prep SV,Chetan Hertzig,Aff
Brophy TJ,Lakeville South EH,Aidan Etkin,Aff
Durham SA,Sage Oak Charter AK,Nelson Okunlola,Aff
San Mateo YR,Marlborough AM,Taylor Tsan,Aff
Lake Highland Prep HL,Marlborough PP,Bryce Sheffield,Neg
Concord Carlisle FZ,Walt Whitman HZ,Lawson Hudson,Neg
Troy AP,Lincoln East BH,Raunak Dua,Aff
Harvard-Westlake KM,McDowell JJ,Bennett Eckert,Neg
Harker AA,Strake Jesuit  MM,Amadea Datel,Aff
Heights EP,Monta Vista KR,Brett Cryan,Neg
Lynbrook OM,Cary Acad RR,Isaac Chao,Aff
Harvard-Westlake AM,Greenhill AKu,Nigel Taylor-Ward,Aff
Notre Dame San Jose AG,Stanford OHS AY,Scott Phillips,Aff
Garland LA,Lincoln East JM,Lawson Hudson,Neg
Peninsula AY,Greenhill SL,Het Desai,Neg
Delores Taylor Arthur School for Young Men JB,Marlborough HL,Jessie Satovsky,Neg
Lynbrook BZ,Harrison JB,Jacob Palmer,Neg
Holy Trinity Episcopal RP,Marlborough OO,lila lavender,Neg
Oak Ridge AA,Harrison BS,Leah Yeshitila,Neg
Harker KB,Village SZ,Riley Rees,Aff
Flower Mound AM,Isidore Newman AB,Amadea Datel,Neg
Carnegie Vanguard LH,Collegiate ND,Rose Larson,Aff
Horace Greeley SG,OCSA IL,Jonathan Meza,Aff
Lake Highland Prep WH,Bellevue WL,Jacob Nails,Neg
Harrison RP,Monta Vista EY,Tajaih Robinson,Aff
James Bowie BR,Lexington MS,Sai Karavadi,Aff
Seven Lakes VS,Greenhill AK,Tajaih Robinson,Neg
St Agnes EH,Memorial DX,DH Henderson,Neg
Strake Jesuit  JW,American Heritage Broward SS,Isaac Chao,Neg
