Pro,Con,Judges,Votes,Win
Emerald GK,William Fremd IB,"Gabe Rusk																																						Parker Klyn																																						Lauren Gillis","Con																															Con																															Con","3-0																															CON"
Strake Jesuit  SM,Strake Jesuit  MC,,Strake Jesuit  SM advances,Strake Jesuit  SM advances
