Pro,Con,Judges,Votes,Win
CC Miyares & Joyce,CB Rietsch & Wazni,"Vivek Sharma																																						Shankar Chandrasekaran																																						Nirmal Muthukumaran","Pro																															Pro																															Pro","3-0																															PRO"
CC Pinto & Das Sarma,AX Vilensky & Kumar,"Margaret Zoeckler																																						Nisha Sharma																																						Adam Love","Con																															Con																															Pro","2-1																															CON"
