Aff,Neg,Judge,Win,"Aff								Points & Ranks","Neg								Points & Ranks"
Holy Trinity Episcopal RP,Strake Jesuit  VJ,Michael Harris,Neg,"28.0																																																														2","28.5																																																														1"
Strake Jesuit  VM,Greenhill MA,parth misra,Aff,"30.0																																																														1","29.9																																																														2"
Clear Lake MK,Stephen F Austin EN,Victor Chen,Neg,"28.5																																																														2","28.7																																																														1"
Southlake Carroll EP,Lynbrook BZ,Lesly De Anda,Aff,"29.0																																																														1","28.0																																																														2"
Harvard-Westlake ML,Southlake Carroll SD,Jacob Lugo,Aff,"28.8																																																														1","28.7																																																														2"
Marlborough EW,Clear Lake AA,Jared Burke,Neg,"28.1																																																														2","28.9																																																														1"
Brophy CC,Olympia BO,Drew Marshall,Neg,"29.0																																																														2","29.2																																																														1"
Lynbrook OM,Harker AM,Brett Cryan,Neg,"28.5																																																														2","28.6																																																														1"
Marlborough FL,Millard North SB,Amber Brooks,Aff,"29.0																																																														1","28.5																																																														2"
Harker PG,Newman Smith SJ,Clement Agho-Otoghile,Aff,"28.7																																																														1","28.0																																																														2"
Coppell VN,Barrington AC,Jacob Lugo,Aff,"28.6																																																														1","28.3																																																														2"
Westlake MR,Langham Creek ML,dylan jones,Aff,"29.4																																																														1","29.0																																																														2"
St Agnes EH,Vestavia Hills AS,Eric Schwerdtfeger,Aff,"29.8																																																														1","28.9																																																														2"
Loyola LR,Lynbrook MD,Anshuman Mishra,Aff,"27.5																																																														1","27.0																																																														2"
Strake Jesuit  NW,Scripps Ranch AS,Devin Hernandez,Aff,"29.2																																																														1","28.9																																																														2"
Harvard-Westlake MT,MAST@FIU DZ,Dhruva Mambapoor,Aff,"28.3																																																														1","27.9																																																														2"
Mission San Jose SS,Village SZ,Jonathan Meza,Aff,"29.8																																																														1","28.9																																																														2"
Marlborough WR,Loyola SG,Brandon Molina,Aff,"29.5																																																														1","28.4																																																														2"
Harker VL,Byron Nelson PM,Jai Sehgal,Aff,"28.4																																																														1","27.5																																																														2"
Oxford VD,Harker SS,Pranav Kaginele,Neg,"29.0																																																														2","29.2																																																														1"
Oxford VM,Jordan FJ,Jonathan Meza,Aff,"29.8																																																														1","29.7																																																														2"
Harvard-Westlake AD,Greenhill PS,Mariel Cruz,Neg,"28.4																																																														2","28.6																																																														1"
James Bowie NW,Strake Jesuit  KM,Yajat Bhargav,Aff,"29.5																																																														1","29.4																																																														2"
Marlborough SL,Notre Dame San Jose AG,Brett Cryan,Neg,"28.9																																																														2","29.0																																																														1"
Harvard-Westlake NL,McNeil KJ,Victor Chen,Neg,"28.1																																																														2","28.2																																																														1"
Harvard-Westlake AT,Emilio Garza,Brandon Molina,Neg,"27.8																																																														2","28.7																																																														1"
Heights AW,Marlborough RJ,Cana Blanton,Aff,"29.0																																																														1","28.8																																																														2"
Strake Jesuit  DA,Coppell LS,Jane Lichtman,Aff,"29.2																																																														1","28.5																																																														2"
Greenhill DM,Clear Lake MB,Scott Brown,Neg,"29.0																																																														2","29.1																																																														1"
Westwood AG,Princeton SS,Scott Brown,Aff,"29.1																																																														1","29.0																																																														2"
Clear Lake RM,Tuloso Midway JA,Amber Brooks,Neg,"28.0																																																														2","28.5																																																														1"
