Aff,Neg,Judge,Result,"Aff								Points","Neg								Points"
Cardinal Gibbons RS,Iowa City West ST,Neda Bahrani,Aff,29,29
Tampa-Jesuit MH,Acton-Boxborough ALi,Saied Beckford,Aff,28,28
North Allegheny ST,Princeton TL,Betsy Wangensteen,Aff,28,28
Evergreen Valley Independent SE,Northern Valley HS Independent JS,Grant Brown,Neg,29,29
Lake Highland Prep SV,Solebury LN,Scott Brown,Neg,29,29
Chaminade ZS,Olympia BO,Curtis Chang,Neg,28,29
San Mateo YR,Prospect ST,Victor Chen,Aff,29,29
Byram Hills AK,Samammish LW,Kevin Cheng,Neg,29,29
Lake Highland Prep AB,Millburn ST,Jeong-Wan Choi,Aff,29,29
Loyola SG,Ridge SN,Henry Eberhart,Neg,28,29
NSU SF,Bronx Science NK,Keshav Dandu,Aff,30,29
BASIS Independent Silicon Valley Independent SK,Academy Of Classical Christian Studies JM,Faizaan Dossani,Neg,30,30
Bronx Science BC,Acton-Boxborough TW,Zoheb Nensey,Aff,28,28
Lake Highland Prep AVe,Oxford VM,William Freedman,Neg,29,29
Bridgeland PT,Pine View EL,Nathan Frenkel,Aff,29,28
Olympia OE,Westlake MR,Eric He,Neg,29,29
Lake Highland Prep WH,Acton-Boxborough SP,Sean Kelleher,Neg,28,28
Ridge MS,Mission San Jose SR,Muhammad Khattak,Neg,29,29
Scarsdale KS,Byram Hills EW,Thomas Kim,Aff,30,29
Acton-Boxborough AM,Stuyvesant HJ,Braedon Kirkpatrick,Neg,28,28
Iowa City West NW,Proof DR,Lukas Krause,Aff,29,29
Acton-Boxborough IA,Scarsdale DW,Archana Kumari,Neg,29,29
Acton-Boxborough AA,Bronx Science KH,Lotem Levy,Aff,28,27
Lake Highland Prep AR,St Agnes EH,Evan Li,Neg,28,29
West Des Moines Valley AM,Princeton CB,William White,Neg,27,27
Troy Independent AP,Scarsdale DH,Aditya Madaraju,Aff,29,28
Scarsdale BS,West Des Moines Valley RT,T.J. Maher,Neg,29,29
Oxford VD,Newark Science AL,Lauren McBlain,Aff,29,29
Catonsville AT,Acton-Boxborough AK,Rick Carbajal,Aff,29,29
Sharon RG,King CP,Temitope Ogundare,Aff,26,29
Solebury LM,San Mateo AS,,"Aff FFT																									Neg BYE","Aff FFT																									Neg BYE",
Ridge VZ,Acton-Boxborough AL,Sara Bizarro,Aff,28,28
Ridge VS,Summit MR,Amelia Ritenour,Neg,29,30
Memorial SC,Lake Highland Prep PS,Daniel Shahab Diaz,Aff,30,30
Loyola IB,Bronx Science AC,Adam Tomasi,Aff,29,29
Stuyvesant LC,North Allegheny RR,Derek Ying,Neg,29,29
Needham TL,,,Aff BYE,Aff BYE,
