Aff,Neg,Judge,Result,"Aff								Points","Neg								Points"
Tampa-Jesuit MH,Needham TL,William White,Aff,28,28
Stuyvesant HJ,Acton-Boxborough AK,Kenneth Rieger,Neg,28,28
Acton-Boxborough AA,Evergreen Valley Independent SE,Scott Brown,Neg,29,29
Lake Highland Prep PS,Loyola SG,Saied Beckford,Aff,30,29
Summit JC,Oxford VD,Ria Bhandarkar,Neg,28,29
Acton-Boxborough AM,Summit MR,Jacob Bosley,Neg,28,29
Bronx Science NK,Lake Highland Prep SV,Brett Cryan,Aff,29,29
Ridge VS,West Des Moines Valley RT,Grant Brown,Neg,29,29
Byram Hills EW,Princeton TL,Rick Carbajal,Aff,29,29
Lake Highland Prep AB,West Des Moines Valley AM,Curtis Chang,Aff,29,28
King CP,NSU SF,Vanessa Chen,Aff,29,29
Solebury LM,Catonsville AT,Kevin Cheng,Aff,29,29
North Allegheny RR,Solebury LN,Jeong-Wan Choi,Aff,29,29
Bronx Science BC,Olympia BO,Keshav Dandu,Neg,29,29
Lake Highland Prep AVe,Sharon RG,Faizaan Dossani,Neg,29,29
Stuyvesant LC,Olympia OE,Henry Eberhart,Aff,30,29
Byram Hills AK,Northern Valley HS Independent JS,Nathan Frenkel,Aff,29,29
Scarsdale BS,Loyola IB,Eric He,Aff,29,29
Oxford VM,Ridge VZ,Javier Hernandez,Aff,29,29
Proof DR,Mission San Jose SR,Neda Bahrani,Neg,28,30
Acton-Boxborough TW,Iowa City West ST,Thomas Kim,Neg,28,28
Scarsdale KS,Lake Highland Prep WH,William Freedman,Aff,29,29
Bridgeland PT,Troy Independent AP,Delon Fuller,Neg,26,30
Bronx Science KH,San Mateo AS,Claire Liu,Neg,28,28
San Mateo YR,Princeton CB,Aditya Madaraju,Aff,29,28
Acton-Boxborough ALi,Westlake MR,T.J. Maher,Neg,28,30
Prospect ST,Samammish LW,Lauren McBlain,Neg,29,29
Acton-Boxborough IA,St Agnes EH,Parth Misra,Neg,30,30
Newark Science AL,Pine View EL,Muhammad Khattak,Aff,29,28
Chaminade ZS,Academy Of Classical Christian Studies JM,Braedon Kirkpatrick,Neg,28,29
Ridge MS,Acton-Boxborough AL,Andrea Reier,Aff,28,28
Lake Highland Prep AR,Acton-Boxborough SP,Amelia Ritenour,Aff,29,29
Ridge SN,BASIS Independent Silicon Valley Independent SK,Daniel Shahab Diaz,Neg,28,27
Memorial SC,Cardinal Gibbons RS,Anthony Survance,Aff,29,29
Bronx Science AC,Scarsdale DW,Victor Chen,Aff,28,28
Iowa City West NW,North Allegheny ST,Adam Tomasi,Aff,29,29
Scarsdale DH,Millburn ST,Derek Ying,Neg,28,29
