Aff,Neg,Judge,Result,"Aff								Points","Neg								Points"
Marlborough AK,Peninsula KN,Shampurna Mitra,Aff,29,27
Mission San Jose AA,Strake Jesuit  ZD,Joseph Barquin,Neg,28,30
West Des Moines Valley JL,Strake Jesuit  RC,EZE N,Neg,28,29
Meadows SW,Sammamish LW,Chris Castillo,Neg,28,29
Eden Prairie AG,Marlborough OO,Kassie Colón,Aff,29,29
Meadows BR,Peninsula EL,River Cook,Neg,28,28
Harker AM,King CP,Diana Alvarez,Neg,28,29
Peninsula AB,Marlborough KM,Nick Fleming,Neg,28,29
Notre Dame San Jose AG,Harvard-Westlake MT,Gerard Grigsby,Aff,28,28
Peninsula BD,Brophy TJ,Sim Guerrero,Neg,28,29
Marlborough FL,Harvard-Westlake ML,Gordon Krauss,Neg,28,29
Marlborough HL,Mission San Jose MA,Yoyo Lei,Aff,28,27
South Eugene KS,Prospect ST,Leah Clark-Villanueva,Aff,29,28
Marlborough SK,Advanced Technologies AH,Anish Ramireddy,Aff,29,28
Peninsula AY,Brentwood MD,Vanessa Nguyen,Neg,28,28
Harker SS,Marlborough ML,Nikhil Navare,Neg,29,28
Marlborough PP,Brentwood ARu,Madeleine Conrad-Mogin,Neg,29,29
Marlborough LF,Plano East RP,Claudia Ribera,Neg,29,29
Strake Jesuit  KS,Peninsula CU,Madeleine Conrad-Mogin,Aff,29,28
Bridgeland PT,Village RB,Jason Smith,Aff,29,26
James Logan KL,Sam Barlow EL,Nigel Taylor-Ward,Neg,28,30
Marlborough SG,King AT,Andrew Torrez,Neg,28,28
Pine View EL,Appleton North MU,parth misra,Neg,30,30
Peninsula KD,Chattahoochee EK,Diana Alvarez,Neg,27,30
Strake Jesuit  EP,Harvard-Westlake AT,Joseph Barquin,Aff,29,29
West Des Moines Valley SJ,Portola AS,Andrew Torrez,Neg,29,29
Sequoia AS,Peninsula JX,Chris Castillo,Aff,29,28
Marlborough TZ,Southlake Carroll SD,Kassie Colón,Neg,29,29
Peninsula AL,Mission San Jose SS,River Cook,Neg,29,29
West Des Moines Valley AM,Harker AA,,"Aff BYE																									Neg FFT","Aff BYE																									Neg FFT",
Brophy CC,Marlborough WR,Shampurna Mitra,Neg,29,29
Harvard-Westlake AL,Catonsville AT,Gerard Grigsby,Neg,29,29
James Logan ZW,Peninsula IY,Sim Guerrero,Aff,28,28
Marlborough ED,Mission San Jose SR,Nick Fleming,Neg,29,29
Marlborough JH,Strake Jesuit  JS,Yoyo Lei,Neg,28,30
Marlborough VA,Fairview SJ,Anish Ramireddy,Neg,29,29
Marlborough ZG,West Des Moines Valley LS,Gordon Krauss,Neg,28,28
Loyola IB,Peninsula AD,Deven Cooper,Aff,29,28
Marlborough LK,Harker RT,Nikhil Navare,Neg,29,29
Marlborough SL,Immaculate Heart RR,Andrew Halverson,Neg,29,29
Stockdale GS,Proof DR,Claudia Ribera,Aff,29,28
McNeil AG,Strake Jesuit  JY,Leah Clark-Villanueva,Aff,29,28
James Logan AB,Saratoga HH,Nigel Taylor-Ward,Aff,27,28
Marlborough MS,Meadows LL,Andrew Halverson,Aff,29,29
Peninsula WW,Harvard-Westlake EJ,parth misra,Neg,28,29
Mountain View EN,,,Aff BYE,Aff BYE,
