Aff,Neg,Judge,Win,"Aff								Points","Neg								Points"
Marlborough SK,St Francis WW,Porter Winterton,Neg,30.0,29.0
Peninsula NK,Marlborough CI,Sebastian Rios,Neg,28.5,29.0
Marlborough SC,Brophy YS,Nathan Saper,Aff,28.0,27.5
Marlborough AM,Sage Hill AJ,Travis Cochran,Aff,29.8,29.6
Peninsula GY,Advanced Technologies YM,Krizel Guansing,Aff,28.5,27.0
Harker GN,Loyola RV,Nathan Saper,Neg,27.8,28.5
Marlborough SMe,Harvard-Westlake JW,Calvin Tyler,Neg,28.9,29.0
Marlborough CSa,Peninsula AU,Alice Waters,Neg,28.5,28.6
Harvard-Westlake EY,Harker JS,Yardley Rosas,Neg,28.6,29.0
Brophy NR,St Francis ZC,Isaiah Salgado,Aff,29.1,29.0
Sage Hill LZ,Peninsula DN,Brett Boelkens,Neg,28.0,29.0
Marlborough JW,Harker JY,Dexter Winn,Neg,28.7,29.3
San Marino RL,Marlborough FM,Victor Jih,Neg,27.9,28.5
Pinewood CA,Harvard-Westlake EG,Brian Son,Aff,28.8,28.7
Polytechnic KK,Marlborough RB,Patrick Fox,Neg,28.6,28.8
Marlborough CM,Polytechnic RK,Nia Gordon,Aff,30.0,29.0
Harvard-Westlake SB,Brophy VW,Brian Son,Neg,28.8,29.0
Harker LX,Marlborough GC,Joey Antonelli,Aff,29.6,29.4
Harker MS,Brophy AS,Jennifer Robateau,Aff,28.0,28.3
Sage Hill IH,Harker TP,Joseph Barquin,Neg,29.2,29.4
Loyola ED,Marlborough PS,Alice Waters,Neg,29.0,29.2
Loyola TH,Harvard-Westlake DB,Norma Delgado,Aff,29.7,29.4
Harker KA,Marlborough CS,Victor Jih,Aff,28.4,28.3
Marlborough SM,Harker AA,Tom Woodhead,Neg,28.7,29.3
Brophy KL,BASIS Scottsdale AV,Ying Liu,Aff,29.0,28.8
Loyola SC,Peninsula JT,Elvis Pineda,Neg,28.8,29.0
Loyola UT,Marlborough EP,Lily Gies,Aff,29.7,29.4
Marlborough MF,Loyola JP,Porter Winterton,Neg,29.0,30.0
Polytechnic EH,Peninsula EC,Norma Delgado,Aff,28.7,28.6
Marlborough SS,Peninsula JE,Patrick Fox,Neg,28.7,29.0
BASIS Scottsdale JV,Harker JK,Krizel Guansing,Aff,29.4,28.9
Canyon Crest CD,Leigh EK,Yardley Rosas,Aff,28.6,28.5
Harker SD,Marlborough AL,Tom Woodhead,Aff,29.8,28.3
Marlborough DK,Harker DD,Joey Antonelli,Neg,28.9,29.1
Marlborough AK,Harvard-Westlake MR,Travis Cochran,Aff,29.4,29.3
Marlborough LS,Harvard-Westlake LS,Lily Gies,Neg,29.3,29.5
Sky View NL,Loyola TC,Sebastian Rios,Neg,29.0,29.5
Loyola TG,Harker LL,Joseph Barquin,Aff,29.0,28.9
San Marino EC,Meadows TB,Calvin Tyler,Neg,29.1,29.2
