Aff,Neg,Judge,Win
Little Rock Central CS,Cabot KB,Elmer Yang,Neg
Frazer JR,ADL RL,Jacob Kauffman,Aff
Little Rock Central SH,Redlands EZ,Elmer Yang,Neg
Claudia Taylor Johnson MP,ADL GL,Neelima Namburi,Aff
Harvard-Westlake JH,BASIS Chandler WI,Sunny Bodduluri,Aff
Cabot KC,Millard North KB,Quinlan Wallace,Neg
Little Rock Central HK,ADL KW,Luke Smith,Neg
St Thomas CO,Harvard-Westlake MR,Christian Kasten,Neg
Little Rock Central GT,Mountain View CS,Norma Delgado,Aff
ADL JP,Harvard-Westlake TK,Ethan Park,Aff
Mountain View AW,West HS SLC LM,Saumya Singh,Aff
Frazer LD,Harvard-Westlake FS,Coralynn Yang,Neg
Mercer Island JY,Harvard-Westlake DB,Luke Smith,Neg
Berkeley Carroll JH,Little Rock Central YH,Samantha Catapang,Neg
Park Vista CN,Evergreen Valley SK,Neel Kanamangala,Aff
Millard North PA,Evergreen Valley AA,Neel Kanamangala,Neg
