Aff,Neg,Judge,Win
Evergreen Valley AA,Little Rock Central CS,Norma Delgado,Neg
Mercer Island JY,ADL RL,Joseph Barquin,Aff
Little Rock Central SH,Frazer LD,Samantha Catapang,Aff
Frazer JR,ADL GL,Joaquin Arreola,Neg
Mountain View CS,Cabot KB,Luke Smith,Neg
BASIS Chandler WI,Harvard-Westlake KC,Luke Smith,Aff
Evergreen Valley SK,ADL JP,nethmin liyanage,Aff
Millard North KB,Little Rock Central HK,Emilio Garza,Aff
ADL KW,Cabot KC,Joseph Barquin,Aff
St Thomas CO,Little Rock Central YH,Emilio Garza,Neg
Harvard-Westlake DB,Berkeley Carroll JH,Ethan Park,Neg
Harvard-Westlake MR,Redlands EZ,nethmin liyanage,Aff
Park Vista CN,Harvard-Westlake JH,Ethan Park,Aff
Harvard-Westlake EO,Claudia Taylor Johnson MP,Brendon Bankey,Neg
Little Rock Central GT,Mountain View AW,Samantha Catapang,Neg
Millard North PA,Harvard-Westlake FS,Brendon Bankey,Aff
West HS SLC LM,Harvard-Westlake EY,Sunny Bodduluri,Aff
Harvard-Westlake TK,Edmond Memorial DM,Cyris Lim,Neg
