Pro,Con,Judges,Votes,Win
Newton South WZ,St Luke's GG,"Laura Kane																																		Kristina Stege																																		Rob Zambito","Pro																												Pro																												Con","2-1																															PRO"
Strath Haven BM,Ridge IP,"Joshua Cohen																																		Aryan Ranade																																		Julia Xu","Con																												Con																												Con","3-0																															CON"
Sharon KS,Regis GM,"Ashley Dawn																																		Jon Loring																																		Tao Fan","Con																												Pro																												Pro","2-1																															PRO"
Newton South KH,Phillipsburg EB,"Tara Gill																																		Paul Kane																																		Debashis Das","Pro																												Pro																												Con","2-1																															PRO"
Bergen County Academies MS,Cambridge Rindge and Latin MK,"Kamal Narra																																		Victor Chen																																		Yi Hou","Pro																												Pro																												Pro","3-0																															PRO"
Acton-Boxborough FE,Chapin MS,"Alex Hristov																																		M. Reza MALIHI																																		Brandy Carbone","Pro																												Pro																												Con","2-1																															PRO"
Newton South CY,Horace Mann GF,"Lindsay Allen																																		Christopher Robertson																																		Yingzi Wu","Con																												Pro																												Pro","2-1																															PRO"
Acton-Boxborough WaWu,Boston Latin MT,"Sanaa Ward-rodriguez																																		David Levin																																		Amelia Ritenour","Con																												Con																												Con","3-0																															CON"
Ridge ZK,Cambridge Rindge and Latin PR,"Laurie Schmid																																		Anais Mobarak																																		Akshay Ramana","Con																												Con																												Pro","2-1																															CON"
Newton South AR,Phillipsburg BM,"Klil Loeb																																		Hailin Yang																																		Dean Grodzins","Con																												Con																												Con","3-0																															CON"
Acton-Boxborough GB,Chapin WI,"Russell Legate-Yang																																		Kurtis Lee																																		Brianna Wright","Pro																												Con																												Con","2-1																															CON"
Newton South MK,,,,
Poly Prep Country Day ST,,,,
Horace Mann LP,,,,
Bergen County Academies CK,,,,
Regis HT,,,,
